Trainデータ数: 13703
Testデータ数: 621
Epoch 1, Loss: 1.3107, Time: 48.20s
Epoch 2, Loss: 1.1430, Time: 35.75s
Epoch 3, Loss: 1.0413, Time: 45.77s
Epoch 4, Loss: 0.9748, Time: 44.03s
Epoch 5, Loss: 0.9398, Time: 35.91s
Epoch 6, Loss: 0.9161, Time: 37.74s
Epoch 7, Loss: 0.8971, Time: 43.02s
Epoch 8, Loss: 0.8754, Time: 37.43s
Epoch 9, Loss: 0.8496, Time: 43.25s
Epoch 10, Loss: 0.8261, Time: 38.63s
Epoch 11, Loss: 0.8049, Time: 33.45s
Epoch 12, Loss: 0.7916, Time: 37.07s
Epoch 13, Loss: 0.7793, Time: 37.79s
Epoch 14, Loss: 0.7689, Time: 37.94s
Epoch 15, Loss: 0.7595, Time: 43.60s
Epoch 16, Loss: 0.7533, Time: 34.93s
Epoch 17, Loss: 0.7437, Time: 35.50s
Epoch 18, Loss: 0.7359, Time: 51.26s
Epoch 19, Loss: 0.7288, Time: 56.92s
Epoch 20, Loss: 0.7207, Time: 54.75s
Epoch 21, Loss: 0.7140, Time: 51.92s
Epoch 22, Loss: 0.7087, Time: 82.37s
Epoch 23, Loss: 0.7029, Time: 59.95s
Epoch 24, Loss: 0.7006, Time: 57.46s
Epoch 25, Loss: 0.6953, Time: 53.74s
Epoch 26, Loss: 0.6912, Time: 54.06s
Epoch 27, Loss: 0.6869, Time: 54.90s
Epoch 28, Loss: 0.6839, Time: 51.87s
Epoch 29, Loss: 0.6811, Time: 58.18s
Epoch 30, Loss: 0.6777, Time: 54.58s
Epoch 31, Loss: 0.6720, Time: 55.31s
Epoch 32, Loss: 0.6684, Time: 54.02s
Epoch 33, Loss: 0.6647, Time: 57.32s
Epoch 34, Loss: 0.6608, Time: 56.59s
Epoch 35, Loss: 0.6572, Time: 52.31s
Epoch 36, Loss: 0.6538, Time: 55.06s
Epoch 37, Loss: 0.6510, Time: 54.51s
Epoch 38, Loss: 0.6473, Time: 55.38s
Epoch 39, Loss: 0.6442, Time: 60.49s
Epoch 40, Loss: 0.6415, Time: 57.20s
Epoch 41, Loss: 0.6394, Time: 50.24s
Epoch 42, Loss: 0.6346, Time: 49.66s
Epoch 43, Loss: 0.6326, Time: 48.27s
Epoch 44, Loss: 0.6296, Time: 51.78s
Epoch 45, Loss: 0.6254, Time: 48.57s
Epoch 46, Loss: 0.6233, Time: 55.52s
Epoch 47, Loss: 0.6230, Time: 39.48s
Epoch 48, Loss: 0.6204, Time: 39.97s
Epoch 49, Loss: 0.6165, Time: 40.13s
Epoch 50, Loss: 0.6133, Time: 39.70s
Epoch 51, Loss: 0.6126, Time: 42.76s
Epoch 52, Loss: 0.6095, Time: 44.85s
Epoch 53, Loss: 0.6080, Time: 46.76s
Epoch 54, Loss: 0.6056, Time: 46.59s
Epoch 55, Loss: 0.6048, Time: 45.31s
Epoch 56, Loss: 0.6016, Time: 45.52s
Epoch 57, Loss: 0.6007, Time: 43.42s
Epoch 58, Loss: 0.5998, Time: 41.16s
Epoch 59, Loss: 0.5973, Time: 38.45s
Epoch 60, Loss: 0.5950, Time: 40.16s
Epoch 61, Loss: 0.5928, Time: 39.98s
Epoch 62, Loss: 0.5921, Time: 40.65s
Epoch 63, Loss: 0.5901, Time: 43.92s
Epoch 64, Loss: 0.5877, Time: 39.19s
Epoch 65, Loss: 0.5888, Time: 41.86s
Epoch 66, Loss: 0.5849, Time: 38.45s
Epoch 67, Loss: 0.5842, Time: 42.19s
Epoch 68, Loss: 0.5824, Time: 41.61s
Epoch 69, Loss: 0.5800, Time: 40.55s
Epoch 70, Loss: 0.5792, Time: 39.57s
Epoch 71, Loss: 0.5760, Time: 43.17s
Epoch 72, Loss: 0.5757, Time: 38.82s
Epoch 73, Loss: 0.5734, Time: 39.88s
Epoch 74, Loss: 0.5731, Time: 40.02s
Epoch 75, Loss: 0.5717, Time: 41.06s
Epoch 76, Loss: 0.5693, Time: 39.59s
Epoch 77, Loss: 0.5679, Time: 40.77s
Epoch 78, Loss: 0.5657, Time: 41.92s
Epoch 79, Loss: 0.5642, Time: 43.34s
Epoch 80, Loss: 0.5645, Time: 47.71s
Epoch 81, Loss: 0.5627, Time: 42.46s
Epoch 82, Loss: 0.5597, Time: 42.77s
Epoch 83, Loss: 0.5589, Time: 41.87s
Epoch 84, Loss: 0.5574, Time: 43.49s
Epoch 85, Loss: 0.5561, Time: 43.06s
Epoch 86, Loss: 0.5548, Time: 40.27s
Epoch 87, Loss: 0.5527, Time: 42.18s
Epoch 88, Loss: 0.5519, Time: 43.75s
Epoch 89, Loss: 0.5502, Time: 41.77s
Epoch 90, Loss: 0.5487, Time: 39.13s
Epoch 91, Loss: 0.5468, Time: 42.55s
Epoch 92, Loss: 0.5460, Time: 38.07s
Epoch 93, Loss: 0.5452, Time: 38.20s
Epoch 94, Loss: 0.5443, Time: 43.35s
Epoch 95, Loss: 0.5417, Time: 40.10s
Epoch 96, Loss: 0.5416, Time: 40.33s
Epoch 97, Loss: 0.5389, Time: 40.64s
Epoch 98, Loss: 0.5384, Time: 43.69s
Epoch 99, Loss: 0.5365, Time: 43.39s
Epoch 100, Loss: 0.5349, Time: 44.45s
Epoch 101, Loss: 0.5342, Time: 41.12s
Epoch 102, Loss: 0.5326, Time: 45.03s
Epoch 103, Loss: 0.5319, Time: 40.16s
Epoch 104, Loss: 0.5302, Time: 41.57s
Epoch 105, Loss: 0.5294, Time: 40.76s
Epoch 106, Loss: 0.5288, Time: 39.71s
Epoch 107, Loss: 0.5277, Time: 35.32s
Epoch 108, Loss: 0.5249, Time: 33.98s
Epoch 109, Loss: 0.5239, Time: 35.78s
Epoch 110, Loss: 0.5232, Time: 35.29s
Epoch 111, Loss: 0.5213, Time: 35.75s
Epoch 112, Loss: 0.5209, Time: 37.86s
Epoch 113, Loss: 0.5184, Time: 36.87s
Epoch 114, Loss: 0.5174, Time: 36.81s
Epoch 115, Loss: 0.5167, Time: 38.95s
Epoch 116, Loss: 0.5152, Time: 42.97s
Epoch 117, Loss: 0.5141, Time: 53.41s
Epoch 118, Loss: 0.5133, Time: 46.79s
Epoch 119, Loss: 0.5116, Time: 48.90s
Epoch 120, Loss: 0.5109, Time: 43.85s
Epoch 121, Loss: 0.5093, Time: 43.53s
Epoch 122, Loss: 0.5085, Time: 42.40s
Epoch 123, Loss: 0.5068, Time: 42.65s
Epoch 124, Loss: 0.5046, Time: 37.90s
Epoch 125, Loss: 0.5040, Time: 37.77s
Epoch 126, Loss: 0.5026, Time: 40.20s
Epoch 127, Loss: 0.5023, Time: 35.35s
Epoch 128, Loss: 0.5013, Time: 37.27s
Epoch 129, Loss: 0.4989, Time: 37.62s
Epoch 130, Loss: 0.4986, Time: 38.59s
Epoch 131, Loss: 0.4973, Time: 39.26s
Epoch 132, Loss: 0.4951, Time: 35.66s
Epoch 133, Loss: 0.4957, Time: 39.28s
Epoch 134, Loss: 0.4942, Time: 37.41s
Epoch 135, Loss: 0.4934, Time: 36.24s
Epoch 136, Loss: 0.4914, Time: 39.75s
Epoch 137, Loss: 0.4905, Time: 38.46s
Epoch 138, Loss: 0.4897, Time: 53.44s
Epoch 139, Loss: 0.4882, Time: 52.12s
Epoch 140, Loss: 0.4869, Time: 56.53s
Epoch 141, Loss: 0.4855, Time: 47.92s
Epoch 142, Loss: 0.4849, Time: 54.17s
Epoch 143, Loss: 0.4842, Time: 52.70s
Epoch 144, Loss: 0.4843, Time: 51.65s
Epoch 145, Loss: 0.4818, Time: 53.06s
Epoch 146, Loss: 0.4810, Time: 39.12s
Epoch 147, Loss: 0.4799, Time: 51.21s
Epoch 148, Loss: 0.4790, Time: 53.16s
Epoch 149, Loss: 0.4780, Time: 55.04s
Epoch 150, Loss: 0.4772, Time: 53.40s
Epoch 151, Loss: 0.4763, Time: 50.31s
Epoch 152, Loss: 0.4745, Time: 52.32s
Epoch 153, Loss: 0.4750, Time: 48.80s
Epoch 154, Loss: 0.4725, Time: 47.78s
Epoch 155, Loss: 0.4725, Time: 40.53s
Epoch 156, Loss: 0.4713, Time: 47.12s
Epoch 157, Loss: 0.4702, Time: 40.71s
Epoch 158, Loss: 0.4685, Time: 38.79s
Epoch 159, Loss: 0.4685, Time: 40.26s
Epoch 160, Loss: 0.4664, Time: 38.15s
Epoch 161, Loss: 0.4658, Time: 34.99s
Epoch 162, Loss: 0.4657, Time: 30.34s
Epoch 163, Loss: 0.4637, Time: 36.91s
