Trainデータ数: 13703
Testデータ数: 621
Epoch 1, Loss: 0.9694, Time: 220.79s
Epoch 2, Loss: 0.6085, Time: 209.49s
Epoch 3, Loss: 0.5154, Time: 207.79s
Epoch 4, Loss: 0.4720, Time: 193.04s
Epoch 5, Loss: 0.4399, Time: 190.73s
Epoch 6, Loss: 0.4134, Time: 186.53s
Epoch 7, Loss: 0.3927, Time: 196.49s
Epoch 8, Loss: 0.3777, Time: 192.79s
Epoch 9, Loss: 0.3611, Time: 189.17s
Epoch 10, Loss: 0.3489, Time: 198.18s
Epoch 11, Loss: 0.3402, Time: 191.29s
Epoch 12, Loss: 0.3335, Time: 189.19s
Epoch 13, Loss: 0.3263, Time: 192.52s
Epoch 14, Loss: 0.3187, Time: 193.80s
Epoch 15, Loss: 0.3135, Time: 195.70s
Epoch 16, Loss: 0.3052, Time: 187.60s
Epoch 17, Loss: 0.2975, Time: 192.62s
Epoch 18, Loss: 0.2921, Time: 191.39s
Epoch 19, Loss: 0.2858, Time: 194.09s
Epoch 20, Loss: 0.2781, Time: 172.69s
Epoch 21, Loss: 0.2734, Time: 196.59s
Epoch 22, Loss: 0.2665, Time: 194.10s
Epoch 23, Loss: 0.2617, Time: 197.64s
Epoch 24, Loss: 0.2560, Time: 194.95s
Epoch 25, Loss: 0.2518, Time: 190.75s
Epoch 26, Loss: 0.2465, Time: 198.03s
Epoch 27, Loss: 0.2428, Time: 194.28s
Epoch 28, Loss: 0.2342, Time: 194.34s
Epoch 29, Loss: 0.2326, Time: 195.46s
Epoch 30, Loss: 0.2290, Time: 190.37s
Epoch 31, Loss: 0.2233, Time: 194.98s
Epoch 32, Loss: 0.2192, Time: 190.95s
Epoch 33, Loss: 0.2152, Time: 196.17s
Epoch 34, Loss: 0.2112, Time: 197.47s
Epoch 35, Loss: 0.2080, Time: 188.96s
Epoch 36, Loss: 0.2034, Time: 193.79s
Epoch 37, Loss: 0.2006, Time: 190.98s
Epoch 38, Loss: 0.1977, Time: 195.30s
Epoch 39, Loss: 0.1947, Time: 195.93s
Epoch 40, Loss: 0.1905, Time: 189.86s
Epoch 41, Loss: 0.1874, Time: 193.98s
Epoch 42, Loss: 0.1855, Time: 189.33s
Epoch 43, Loss: 0.1820, Time: 187.70s
Epoch 44, Loss: 0.1786, Time: 191.20s
Epoch 45, Loss: 0.1778, Time: 193.52s
Epoch 46, Loss: 0.1745, Time: 190.15s
Epoch 47, Loss: 0.1716, Time: 189.65s
Epoch 48, Loss: 0.1690, Time: 192.85s
Epoch 49, Loss: 0.1662, Time: 180.55s
Epoch 50, Loss: 0.1641, Time: 189.74s
Epoch 51, Loss: 0.1620, Time: 187.54s
Epoch 52, Loss: 0.1594, Time: 187.69s
Epoch 53, Loss: 0.1575, Time: 189.79s
Epoch 54, Loss: 0.1549, Time: 189.51s
Epoch 55, Loss: 0.1528, Time: 193.20s
Epoch 56, Loss: 0.1511, Time: 199.76s
Epoch 57, Loss: 0.1499, Time: 227.87s
Epoch 58, Loss: 0.1480, Time: 268.10s
Epoch 59, Loss: 0.1447, Time: 297.91s
Epoch 60, Loss: 0.1438, Time: 305.94s
Epoch 61, Loss: 0.1435, Time: 271.70s
Epoch 62, Loss: 0.1405, Time: 292.36s
Epoch 63, Loss: 0.1372, Time: 263.78s
Epoch 64, Loss: 0.1373, Time: 290.56s
Epoch 65, Loss: 0.1343, Time: 265.03s
Epoch 66, Loss: 0.1321, Time: 256.61s
Epoch 67, Loss: 0.1318, Time: 234.57s
Epoch 68, Loss: 0.1291, Time: 234.02s
Epoch 69, Loss: 0.1285, Time: 221.45s
Epoch 70, Loss: 0.1271, Time: 196.73s
Epoch 71, Loss: 0.1258, Time: 206.21s
Epoch 72, Loss: 0.1247, Time: 203.53s
Epoch 73, Loss: 0.1235, Time: 199.92s
Epoch 74, Loss: 0.1207, Time: 210.33s
Epoch 75, Loss: 0.1198, Time: 190.25s
Epoch 76, Loss: 0.1191, Time: 184.99s
Epoch 77, Loss: 0.1176, Time: 188.40s
Epoch 78, Loss: 0.1157, Time: 180.58s
Epoch 79, Loss: 0.1145, Time: 215.65s
Epoch 80, Loss: 0.1137, Time: 201.79s
Epoch 81, Loss: 0.1109, Time: 183.96s
Epoch 82, Loss: 0.1108, Time: 197.18s
Epoch 83, Loss: 0.1099, Time: 195.01s
