Trainデータ数: 13703
Testデータ数: 621
Epoch 1, Loss: 1.1713, Time: 39.20s
Epoch 2, Loss: 0.7392, Time: 34.97s
Epoch 3, Loss: 0.5636, Time: 35.70s
Epoch 4, Loss: 0.4953, Time: 34.94s
Epoch 5, Loss: 0.4576, Time: 35.55s
Epoch 6, Loss: 0.4304, Time: 35.21s
Epoch 7, Loss: 0.4077, Time: 37.79s
Epoch 8, Loss: 0.3866, Time: 42.33s
Epoch 9, Loss: 0.3710, Time: 36.50s
Epoch 10, Loss: 0.3599, Time: 41.58s
Epoch 11, Loss: 0.3495, Time: 42.51s
Epoch 12, Loss: 0.3418, Time: 42.69s
Epoch 13, Loss: 0.3334, Time: 42.62s
Epoch 14, Loss: 0.3255, Time: 42.87s
Epoch 15, Loss: 0.3183, Time: 41.50s
Epoch 16, Loss: 0.3105, Time: 43.26s
Epoch 17, Loss: 0.3028, Time: 42.55s
Epoch 18, Loss: 0.2955, Time: 37.18s
Epoch 19, Loss: 0.2877, Time: 34.68s
Epoch 20, Loss: 0.2803, Time: 36.80s
Epoch 21, Loss: 0.2725, Time: 35.06s
Epoch 22, Loss: 0.2655, Time: 36.45s
Epoch 23, Loss: 0.2584, Time: 35.74s
Epoch 24, Loss: 0.2518, Time: 35.02s
Epoch 25, Loss: 0.2453, Time: 36.95s
Epoch 26, Loss: 0.2399, Time: 36.61s
Epoch 27, Loss: 0.2348, Time: 34.96s
Epoch 28, Loss: 0.2289, Time: 43.96s
Epoch 29, Loss: 0.2241, Time: 37.26s
Epoch 30, Loss: 0.2188, Time: 39.54s
Epoch 31, Loss: 0.2141, Time: 42.08s
Epoch 32, Loss: 0.2087, Time: 41.98s
Epoch 33, Loss: 0.2053, Time: 41.59s
Epoch 34, Loss: 0.2004, Time: 42.16s
Epoch 35, Loss: 0.1964, Time: 41.70s
Epoch 36, Loss: 0.1927, Time: 42.39s
Epoch 37, Loss: 0.1885, Time: 41.80s
Epoch 38, Loss: 0.1853, Time: 39.50s
Epoch 39, Loss: 0.1817, Time: 35.86s
Epoch 40, Loss: 0.1783, Time: 36.40s
Epoch 41, Loss: 0.1751, Time: 36.61s
Epoch 42, Loss: 0.1722, Time: 36.26s
Epoch 43, Loss: 0.1694, Time: 36.04s
Epoch 44, Loss: 0.1662, Time: 35.56s
Epoch 45, Loss: 0.1632, Time: 35.15s
Epoch 46, Loss: 0.1611, Time: 35.27s
Epoch 47, Loss: 0.1581, Time: 37.59s
Epoch 48, Loss: 0.1552, Time: 37.52s
Epoch 49, Loss: 0.1530, Time: 41.20s
Epoch 50, Loss: 0.1507, Time: 42.23s
Epoch 51, Loss: 0.1483, Time: 41.02s
Epoch 52, Loss: 0.1464, Time: 41.23s
Epoch 53, Loss: 0.1442, Time: 42.46s
Epoch 54, Loss: 0.1417, Time: 41.99s
Epoch 55, Loss: 0.1397, Time: 42.22s
Epoch 56, Loss: 0.1380, Time: 39.71s
Epoch 57, Loss: 0.1358, Time: 35.89s
Epoch 58, Loss: 0.1341, Time: 36.80s
Epoch 59, Loss: 0.1319, Time: 36.37s
Epoch 60, Loss: 0.1300, Time: 36.12s
Epoch 61, Loss: 0.1283, Time: 36.38s
Epoch 62, Loss: 0.1263, Time: 35.83s
Epoch 63, Loss: 0.1250, Time: 36.86s
Epoch 64, Loss: 0.1228, Time: 34.91s
Epoch 65, Loss: 0.1215, Time: 36.36s
Epoch 66, Loss: 0.1198, Time: 34.97s
Epoch 67, Loss: 0.1183, Time: 40.67s
Epoch 68, Loss: 0.1167, Time: 40.51s
Epoch 69, Loss: 0.1156, Time: 38.95s
Epoch 70, Loss: 0.1136, Time: 41.17s
Epoch 71, Loss: 0.1120, Time: 41.62s
Epoch 72, Loss: 0.1103, Time: 43.02s
Epoch 73, Loss: 0.1087, Time: 42.24s
Epoch 74, Loss: 0.1078, Time: 43.41s
Epoch 75, Loss: 0.1062, Time: 42.41s
Epoch 76, Loss: 0.1053, Time: 41.61s
Epoch 77, Loss: 0.1037, Time: 41.84s
Epoch 78, Loss: 0.1020, Time: 41.25s
Epoch 79, Loss: 0.1007, Time: 35.26s
Epoch 80, Loss: 0.0989, Time: 36.74s
Epoch 81, Loss: 0.0980, Time: 36.38s
Epoch 82, Loss: 0.0965, Time: 36.69s
Epoch 83, Loss: 0.0959, Time: 36.00s
Epoch 84, Loss: 0.0941, Time: 35.90s
Epoch 85, Loss: 0.0930, Time: 36.10s
Epoch 86, Loss: 0.0918, Time: 36.27s
Epoch 87, Loss: 0.0909, Time: 36.52s
Epoch 88, Loss: 0.0894, Time: 34.58s
Epoch 89, Loss: 0.0883, Time: 35.21s
Epoch 90, Loss: 0.0873, Time: 35.22s
Epoch 91, Loss: 0.0863, Time: 36.16s
Epoch 92, Loss: 0.0850, Time: 34.86s
Epoch 93, Loss: 0.0842, Time: 35.21s
Epoch 94, Loss: 0.0828, Time: 44.77s
Epoch 95, Loss: 0.0817, Time: 36.45s
Epoch 96, Loss: 0.0808, Time: 38.64s
Epoch 97, Loss: 0.0801, Time: 41.82s
Epoch 98, Loss: 0.0793, Time: 42.36s
Epoch 99, Loss: 0.0781, Time: 41.53s
Epoch 100, Loss: 0.0768, Time: 41.60s
