uniprot_id,protein_name,score_index,score
P51114,FXR1,1,0.233483
P51114,FXR1,2,0.105020
P51114,FXR1,3,0.210425
P51114,FXR1,4,0.281482
P51114,FXR1,5,0.396372
P51114,FXR1,6,0.545338
P51114,FXR1,7,0.018570
P51114,FXR1,8,0.170491
P51114,FXR1,9,0.358851
P51114,FXR1,10,0.019976
P51114,FXR1,11,0.275495
P51114,FXR1,12,0.030203
P51114,FXR1,13,0.237785
P51114,FXR1,14,0.163127
P51114,FXR1,15,0.062194
P51114,FXR1,16,0.368758
P51114,FXR1,17,0.144138
P51114,FXR1,18,0.155612
P51114,FXR1,19,0.603549
P51114,FXR1,20,0.072279
P51114,FXR1,21,0.015051
P51114,FXR1,22,0.029916
P51114,FXR1,23,0.063481
P51114,FXR1,24,0.604769
P51114,FXR1,25,0.008644
P51114,FXR1,26,0.025654
P51114,FXR1,27,0.214361
P51114,FXR1,28,0.060274
P51114,FXR1,29,0.032692
P51114,FXR1,30,0.036912
P51114,FXR1,31,0.027423
P51114,FXR1,32,0.289354
P51114,FXR1,33,0.037482
P51114,FXR1,34,0.034520
P51114,FXR1,35,0.011268
P51114,FXR1,36,0.395722
P51114,FXR1,37,0.097685
P51114,FXR1,38,0.658294
P51114,FXR1,39,0.349812
P51114,FXR1,40,0.288204
P51114,FXR1,41,0.137128
P51114,FXR1,42,0.010271
P51114,FXR1,43,0.369272
P51114,FXR1,44,0.466587
P51114,FXR1,45,0.750099
P51114,FXR1,46,0.144977
P51114,FXR1,47,0.035580
P51114,FXR1,48,0.010079
P51114,FXR1,49,0.010391
P51114,FXR1,50,0.013813
P51114,FXR1,51,0.219426
P51114,FXR1,52,0.313950
P51114,FXR1,53,0.153798
P51114,FXR1,54,0.047054
P51114,FXR1,55,0.078213
P51114,FXR1,56,0.075377
P51114,FXR1,57,0.149705
P51114,FXR1,58,0.503858
P51114,FXR1,59,0.138211
P51114,FXR1,60,0.059211
P51114,FXR1,61,0.015101
P51114,FXR1,62,0.020457
P51114,FXR1,63,0.001691
P51114,FXR1,64,0.071076
P51114,FXR1,65,0.112880
P51114,FXR1,66,0.182742
P51114,FXR1,67,0.223939
P51114,FXR1,68,0.249391
P51114,FXR1,69,0.213780
P51114,FXR1,70,0.116347
P51114,FXR1,71,0.115408
P51114,FXR1,72,0.012329
P51114,FXR1,73,0.412629
P51114,FXR1,74,0.140003
P51114,FXR1,75,0.059200
P51114,FXR1,76,0.302547
P51114,FXR1,77,0.713133
P51114,FXR1,78,0.277183
P51114,FXR1,79,0.155929
P51114,FXR1,80,0.262131
P51114,FXR1,81,0.148654
P51114,FXR1,82,0.156475
P51114,FXR1,83,0.423967
P51114,FXR1,84,0.277042
P51114,FXR1,85,0.011026
P51114,FXR1,86,0.259368
P51114,FXR1,87,0.071856
P51114,FXR1,88,0.131899
P51114,FXR1,89,0.184977
P51114,FXR1,90,0.604960
P51114,FXR1,91,0.025739
P51114,FXR1,92,0.074079
P51114,FXR1,93,0.072126
P51114,FXR1,94,0.137964
P51114,FXR1,95,0.030095
P51114,FXR1,96,0.044018
P51114,FXR1,97,0.612500
P51114,FXR1,98,0.742774
P51114,FXR1,99,0.066986
P51114,FXR1,100,0.052574
P51114,FXR1,101,0.180235
P51114,FXR1,102,0.538866
P51114,FXR1,103,0.231754
P51114,FXR1,104,0.282427
P51114,FXR1,105,0.368397
P51114,FXR1,106,0.017399
P51114,FXR1,107,0.160804
P51114,FXR1,108,0.053312
P51114,FXR1,109,0.217668
P51114,FXR1,110,0.200926
P51114,FXR1,111,0.193113
P51114,FXR1,112,0.001543
P51114,FXR1,113,0.190259
P51114,FXR1,114,0.607384
P51114,FXR1,115,0.728794
P51114,FXR1,116,0.907873
P51114,FXR1,117,0.001801
P51114,FXR1,118,0.074476
P51114,FXR1,119,0.294887
P51114,FXR1,120,0.150872
P51114,FXR1,121,0.014363
P51114,FXR1,122,0.021925
P51114,FXR1,123,0.026030
P51114,FXR1,124,0.180774
P51114,FXR1,125,0.487915
P51114,FXR1,126,0.183551
P51114,FXR1,127,0.277100
P51114,FXR1,128,0.053246
P51114,FXR1,129,0.228644
P51114,FXR1,130,0.254039
P51114,FXR1,131,0.174090
P51114,FXR1,132,0.025509
P51114,FXR1,133,0.112456
P51114,FXR1,134,0.036595
P51114,FXR1,135,0.012649
P51114,FXR1,136,0.019871
P51114,FXR1,137,0.039094
P51114,FXR1,138,0.537465
P51114,FXR1,139,0.204587
P51114,FXR1,140,0.187348
P51114,FXR1,141,0.065775
P51114,FXR1,142,0.726870
P51114,FXR1,143,0.258844
P51114,FXR1,144,0.642982
P51114,FXR1,145,0.102656
P51114,FXR1,146,0.446122
P51114,FXR1,147,0.173093
P51114,FXR1,148,0.004908
P51114,FXR1,149,0.697840
P51114,FXR1,150,0.195111
P51114,FXR1,151,0.101245
