uniprot_id,protein_name,score_index,score
Q15720,ELAVL1,1,0.010363
Q15720,ELAVL1,2,0.000002
Q15720,ELAVL1,3,0.000009
Q15720,ELAVL1,4,0.000011
Q15720,ELAVL1,5,0.288744
Q15720,ELAVL1,6,0.500000
Q15720,ELAVL1,7,0.500000
Q15720,ELAVL1,8,0.000148
Q15720,ELAVL1,9,0.178228
Q15720,ELAVL1,10,0.001018
Q15720,ELAVL1,11,0.116887
Q15720,ELAVL1,12,0.000000
Q15720,ELAVL1,13,0.500000
Q15720,ELAVL1,14,0.154715
Q15720,ELAVL1,15,0.000001
Q15720,ELAVL1,16,0.000022
Q15720,ELAVL1,17,0.001968
Q15720,ELAVL1,18,0.031822
Q15720,ELAVL1,19,0.392424
Q15720,ELAVL1,20,0.500000
Q15720,ELAVL1,21,0.500000
Q15720,ELAVL1,22,0.116887
Q15720,ELAVL1,23,0.036548
Q15720,ELAVL1,24,0.500000
Q15720,ELAVL1,25,0.000198
Q15720,ELAVL1,26,0.000332
Q15720,ELAVL1,27,0.000016
Q15720,ELAVL1,28,0.000001
Q15720,ELAVL1,29,0.000000
Q15720,ELAVL1,30,0.000000
Q15720,ELAVL1,31,0.000066
Q15720,ELAVL1,32,0.500000
Q15720,ELAVL1,33,0.000015
Q15720,ELAVL1,34,0.500000
Q15720,ELAVL1,35,0.003310
Q15720,ELAVL1,36,0.000002
Q15720,ELAVL1,37,0.000001
Q15720,ELAVL1,38,0.500000
Q15720,ELAVL1,39,0.025014
Q15720,ELAVL1,40,0.500000
Q15720,ELAVL1,41,0.000054
Q15720,ELAVL1,42,0.000001
Q15720,ELAVL1,43,0.329771
Q15720,ELAVL1,44,0.500000
Q15720,ELAVL1,45,0.000254
Q15720,ELAVL1,46,0.000003
Q15720,ELAVL1,47,0.000007
Q15720,ELAVL1,48,0.500000
Q15720,ELAVL1,49,0.027100
Q15720,ELAVL1,50,0.000000
Q15720,ELAVL1,51,0.048627
Q15720,ELAVL1,52,0.000000
Q15720,ELAVL1,53,0.000002
Q15720,ELAVL1,54,0.001278
Q15720,ELAVL1,55,0.000158
Q15720,ELAVL1,56,0.500000
Q15720,ELAVL1,57,0.002801
Q15720,ELAVL1,58,0.002096
Q15720,ELAVL1,59,0.500000
Q15720,ELAVL1,60,0.000003
Q15720,ELAVL1,61,0.000000
Q15720,ELAVL1,62,0.000086
Q15720,ELAVL1,63,0.031226
Q15720,ELAVL1,64,0.116887
Q15720,ELAVL1,65,0.116887
Q15720,ELAVL1,66,0.000006
Q15720,ELAVL1,67,0.000001
Q15720,ELAVL1,68,0.016574
Q15720,ELAVL1,69,0.231433
Q15720,ELAVL1,70,0.047913
Q15720,ELAVL1,71,0.116887
Q15720,ELAVL1,72,0.005894
Q15720,ELAVL1,73,0.001822
Q15720,ELAVL1,74,0.170500
Q15720,ELAVL1,75,0.000026
Q15720,ELAVL1,76,0.052776
Q15720,ELAVL1,77,0.376697
