uniprot_id,protein_name,score_index,score
Q32P51,HNRNPA1L2,1,0.216678
Q32P51,HNRNPA1L2,2,0.015917
Q32P51,HNRNPA1L2,3,0.991875
Q32P51,HNRNPA1L2,4,0.840429
Q32P51,HNRNPA1L2,5,0.868767
Q32P51,HNRNPA1L2,6,0.991571
Q32P51,HNRNPA1L2,7,0.988511
Q32P51,HNRNPA1L2,8,0.886878
Q32P51,HNRNPA1L2,9,0.995185
Q32P51,HNRNPA1L2,10,0.997950
Q32P51,HNRNPA1L2,11,0.833083
Q32P51,HNRNPA1L2,12,0.774115
Q32P51,HNRNPA1L2,13,0.991500
Q32P51,HNRNPA1L2,14,1.000000
Q32P51,HNRNPA1L2,15,0.982495
Q32P51,HNRNPA1L2,16,0.625083
Q32P51,HNRNPA1L2,17,0.307819
Q32P51,HNRNPA1L2,18,0.746613
Q32P51,HNRNPA1L2,19,0.036475
Q32P51,HNRNPA1L2,20,0.978183
Q32P51,HNRNPA1L2,21,0.491645
Q32P51,HNRNPA1L2,22,0.998358
Q32P51,HNRNPA1L2,23,0.997256
Q32P51,HNRNPA1L2,24,0.769026
Q32P51,HNRNPA1L2,25,0.917826
Q32P51,HNRNPA1L2,26,0.999909
Q32P51,HNRNPA1L2,27,0.836121
Q32P51,HNRNPA1L2,28,0.069419
Q32P51,HNRNPA1L2,29,0.943354
Q32P51,HNRNPA1L2,30,0.194854
Q32P51,HNRNPA1L2,31,0.991684
Q32P51,HNRNPA1L2,32,0.325495
Q32P51,HNRNPA1L2,33,0.449540
Q32P51,HNRNPA1L2,34,0.591917
Q32P51,HNRNPA1L2,35,0.479783
Q32P51,HNRNPA1L2,36,0.124738
Q32P51,HNRNPA1L2,37,0.983904
Q32P51,HNRNPA1L2,38,0.000046
Q32P51,HNRNPA1L2,39,0.995371
Q32P51,HNRNPA1L2,40,0.996985
Q32P51,HNRNPA1L2,41,0.022286
Q32P51,HNRNPA1L2,42,0.996891
Q32P51,HNRNPA1L2,43,0.967930
Q32P51,HNRNPA1L2,44,0.022020
Q32P51,HNRNPA1L2,45,0.999948
Q32P51,HNRNPA1L2,46,0.671989
Q32P51,HNRNPA1L2,47,0.999865
Q32P51,HNRNPA1L2,48,0.999091
Q32P51,HNRNPA1L2,49,0.336993
Q32P51,HNRNPA1L2,50,0.500000
Q32P51,HNRNPA1L2,51,0.711966
Q32P51,HNRNPA1L2,52,0.500000
Q32P51,HNRNPA1L2,53,0.971203
Q32P51,HNRNPA1L2,54,0.064367
Q32P51,HNRNPA1L2,55,0.924442
Q32P51,HNRNPA1L2,56,0.999933
Q32P51,HNRNPA1L2,57,0.995575
Q32P51,HNRNPA1L2,58,0.956437
Q32P51,HNRNPA1L2,59,0.090337
Q32P51,HNRNPA1L2,60,0.749317
Q32P51,HNRNPA1L2,61,0.976571
Q32P51,HNRNPA1L2,62,0.500000
Q32P51,HNRNPA1L2,63,0.994387
Q32P51,HNRNPA1L2,64,0.999960
Q32P51,HNRNPA1L2,65,0.818038
Q32P51,HNRNPA1L2,66,0.942860
