uniprot_id,protein_name,score_index,score
Q5VWX1,KHDRBS2,1,0.391270
Q5VWX1,KHDRBS2,2,0.180990
Q5VWX1,KHDRBS2,3,0.047716
Q5VWX1,KHDRBS2,4,0.117889
Q5VWX1,KHDRBS2,5,0.022243
Q5VWX1,KHDRBS2,6,0.244275
Q5VWX1,KHDRBS2,7,0.150784
Q5VWX1,KHDRBS2,8,0.009855
Q5VWX1,KHDRBS2,9,0.215526
Q5VWX1,KHDRBS2,10,0.451086
Q5VWX1,KHDRBS2,11,0.032782
Q5VWX1,KHDRBS2,12,0.321810
Q5VWX1,KHDRBS2,13,0.090869
Q5VWX1,KHDRBS2,14,0.314670
Q5VWX1,KHDRBS2,15,0.110775
Q5VWX1,KHDRBS2,16,0.495431
Q5VWX1,KHDRBS2,17,0.072798
Q5VWX1,KHDRBS2,18,0.068491
Q5VWX1,KHDRBS2,19,0.253084
Q5VWX1,KHDRBS2,20,0.080033
Q5VWX1,KHDRBS2,21,0.164219
Q5VWX1,KHDRBS2,22,0.949746
Q5VWX1,KHDRBS2,23,0.127022
Q5VWX1,KHDRBS2,24,0.033708
Q5VWX1,KHDRBS2,25,0.270430
Q5VWX1,KHDRBS2,26,0.436606
Q5VWX1,KHDRBS2,27,0.141865
Q5VWX1,KHDRBS2,28,0.019308
Q5VWX1,KHDRBS2,29,0.165582
Q5VWX1,KHDRBS2,30,0.091083
Q5VWX1,KHDRBS2,31,0.151514
Q5VWX1,KHDRBS2,32,0.613401
Q5VWX1,KHDRBS2,33,0.323549
Q5VWX1,KHDRBS2,34,0.216170
Q5VWX1,KHDRBS2,35,0.360951
Q5VWX1,KHDRBS2,36,0.029510
Q5VWX1,KHDRBS2,37,0.021010
Q5VWX1,KHDRBS2,38,0.061717
Q5VWX1,KHDRBS2,39,0.059929
Q5VWX1,KHDRBS2,40,0.673069
Q5VWX1,KHDRBS2,41,0.182461
Q5VWX1,KHDRBS2,42,0.019031
Q5VWX1,KHDRBS2,43,0.366722
Q5VWX1,KHDRBS2,44,0.120801
Q5VWX1,KHDRBS2,45,0.017131
Q5VWX1,KHDRBS2,46,0.027001
Q5VWX1,KHDRBS2,47,0.210122
Q5VWX1,KHDRBS2,48,0.262519
Q5VWX1,KHDRBS2,49,0.374458
Q5VWX1,KHDRBS2,50,0.098772
Q5VWX1,KHDRBS2,51,0.189887
Q5VWX1,KHDRBS2,52,0.039967
Q5VWX1,KHDRBS2,53,0.086868
Q5VWX1,KHDRBS2,54,0.053956
Q5VWX1,KHDRBS2,55,0.138177
Q5VWX1,KHDRBS2,56,0.155481
Q5VWX1,KHDRBS2,57,0.323163
Q5VWX1,KHDRBS2,58,0.380403
Q5VWX1,KHDRBS2,59,0.040596
Q5VWX1,KHDRBS2,60,0.456466
Q5VWX1,KHDRBS2,61,0.046961
Q5VWX1,KHDRBS2,62,0.045387
Q5VWX1,KHDRBS2,63,0.316299
Q5VWX1,KHDRBS2,64,0.077300
Q5VWX1,KHDRBS2,65,0.307064
Q5VWX1,KHDRBS2,66,0.092200
Q5VWX1,KHDRBS2,67,0.005280
Q5VWX1,KHDRBS2,68,0.098197
Q5VWX1,KHDRBS2,69,0.104954
Q5VWX1,KHDRBS2,70,0.125417
Q5VWX1,KHDRBS2,71,0.128224
Q5VWX1,KHDRBS2,72,0.062694
Q5VWX1,KHDRBS2,73,0.054424
Q5VWX1,KHDRBS2,74,0.191377
Q5VWX1,KHDRBS2,75,0.139550
Q5VWX1,KHDRBS2,76,0.083566
Q5VWX1,KHDRBS2,77,0.260971
Q5VWX1,KHDRBS2,78,0.175522
Q5VWX1,KHDRBS2,79,0.068514
Q5VWX1,KHDRBS2,80,0.304272
Q5VWX1,KHDRBS2,81,0.223201
Q5VWX1,KHDRBS2,82,0.061747
Q5VWX1,KHDRBS2,83,0.026531
Q5VWX1,KHDRBS2,84,0.335729
Q5VWX1,KHDRBS2,85,0.051759
Q5VWX1,KHDRBS2,86,0.056725
Q5VWX1,KHDRBS2,87,0.265845
Q5VWX1,KHDRBS2,88,0.075852
Q5VWX1,KHDRBS2,89,0.312196
Q5VWX1,KHDRBS2,90,0.041317
Q5VWX1,KHDRBS2,91,0.065140
Q5VWX1,KHDRBS2,92,0.043482
Q5VWX1,KHDRBS2,93,0.148578
Q5VWX1,KHDRBS2,94,0.059913
Q5VWX1,KHDRBS2,95,0.723786
