uniprot_id,protein_name,score_index,score
Q6PJT7,ZC3H14,1,0.176704
Q6PJT7,ZC3H14,2,0.005227
Q6PJT7,ZC3H14,3,0.639358
Q6PJT7,ZC3H14,4,0.021635
Q6PJT7,ZC3H14,5,0.840955
Q6PJT7,ZC3H14,6,0.231765
Q6PJT7,ZC3H14,7,0.005061
Q6PJT7,ZC3H14,8,0.112274
Q6PJT7,ZC3H14,9,0.010988
Q6PJT7,ZC3H14,10,0.003944
Q6PJT7,ZC3H14,11,0.001331
Q6PJT7,ZC3H14,12,0.000633
Q6PJT7,ZC3H14,13,0.015514
Q6PJT7,ZC3H14,14,0.021248
Q6PJT7,ZC3H14,15,0.016202
Q6PJT7,ZC3H14,16,0.001060
Q6PJT7,ZC3H14,17,0.001068
Q6PJT7,ZC3H14,18,0.004681
Q6PJT7,ZC3H14,19,0.005152
Q6PJT7,ZC3H14,20,0.128076
Q6PJT7,ZC3H14,21,0.005106
Q6PJT7,ZC3H14,22,0.143803
Q6PJT7,ZC3H14,23,0.002782
Q6PJT7,ZC3H14,24,0.001411
Q6PJT7,ZC3H14,25,0.010122
Q6PJT7,ZC3H14,26,0.003400
Q6PJT7,ZC3H14,27,0.023691
Q6PJT7,ZC3H14,28,0.055023
Q6PJT7,ZC3H14,29,0.401135
Q6PJT7,ZC3H14,30,0.006496
Q6PJT7,ZC3H14,31,0.060797
Q6PJT7,ZC3H14,32,0.016069
Q6PJT7,ZC3H14,33,0.028862
Q6PJT7,ZC3H14,34,0.190462
Q6PJT7,ZC3H14,35,0.004140
Q6PJT7,ZC3H14,36,0.001663
Q6PJT7,ZC3H14,37,0.011018
Q6PJT7,ZC3H14,38,0.003452
Q6PJT7,ZC3H14,39,0.572059
Q6PJT7,ZC3H14,40,0.060765
Q6PJT7,ZC3H14,41,0.007470
Q6PJT7,ZC3H14,42,0.013353
Q6PJT7,ZC3H14,43,0.228231
Q6PJT7,ZC3H14,44,0.005666
Q6PJT7,ZC3H14,45,0.574743
Q6PJT7,ZC3H14,46,0.000418
Q6PJT7,ZC3H14,47,0.159339
Q6PJT7,ZC3H14,48,0.143929
Q6PJT7,ZC3H14,49,0.023232
Q6PJT7,ZC3H14,50,0.004822
Q6PJT7,ZC3H14,51,0.529819
Q6PJT7,ZC3H14,52,0.064206
Q6PJT7,ZC3H14,53,0.038358
Q6PJT7,ZC3H14,54,0.009605
Q6PJT7,ZC3H14,55,0.000582
Q6PJT7,ZC3H14,56,0.241617
Q6PJT7,ZC3H14,57,0.010995
Q6PJT7,ZC3H14,58,0.001129
Q6PJT7,ZC3H14,59,0.017177
Q6PJT7,ZC3H14,60,0.070003
Q6PJT7,ZC3H14,61,0.070301
Q6PJT7,ZC3H14,62,0.002669
Q6PJT7,ZC3H14,63,0.230370
