uniprot_id,protein_name,score_index,score
Q86U42,PABPN1,1,0.986651
Q86U42,PABPN1,2,0.448255
Q86U42,PABPN1,3,0.069627
Q86U42,PABPN1,4,0.500000
Q86U42,PABPN1,5,0.308612
Q86U42,PABPN1,6,0.132121
Q86U42,PABPN1,7,0.159668
Q86U42,PABPN1,8,0.280738
Q86U42,PABPN1,9,0.500000
Q86U42,PABPN1,10,0.119721
Q86U42,PABPN1,11,0.226681
Q86U42,PABPN1,12,0.836223
Q86U42,PABPN1,13,0.149784
Q86U42,PABPN1,14,0.995672
Q86U42,PABPN1,15,0.500000
Q86U42,PABPN1,16,0.889310
Q86U42,PABPN1,17,0.224432
Q86U42,PABPN1,18,0.470188
Q86U42,PABPN1,19,0.297932
Q86U42,PABPN1,20,0.127785
Q86U42,PABPN1,21,0.526071
Q86U42,PABPN1,22,0.224416
Q86U42,PABPN1,23,0.971059
Q86U42,PABPN1,24,0.069096
Q86U42,PABPN1,25,0.318869
Q86U42,PABPN1,26,0.650880
Q86U42,PABPN1,27,0.500000
Q86U42,PABPN1,28,0.500000
Q86U42,PABPN1,29,0.909414
Q86U42,PABPN1,30,0.623456
Q86U42,PABPN1,31,0.719029
Q86U42,PABPN1,32,0.633992
Q86U42,PABPN1,33,0.255514
Q86U42,PABPN1,34,0.171547
Q86U42,PABPN1,35,0.101116
Q86U42,PABPN1,36,0.086854
Q86U42,PABPN1,37,0.500000
Q86U42,PABPN1,38,0.917788
Q86U42,PABPN1,39,0.500000
Q86U42,PABPN1,40,0.500000
Q86U42,PABPN1,41,0.474504
Q86U42,PABPN1,42,0.189361
Q86U42,PABPN1,43,0.243101
Q86U42,PABPN1,44,0.313098
Q86U42,PABPN1,45,0.339858
Q86U42,PABPN1,46,0.237692
Q86U42,PABPN1,47,0.400788
Q86U42,PABPN1,48,0.979539
Q86U42,PABPN1,49,0.822463
Q86U42,PABPN1,50,0.233991
Q86U42,PABPN1,51,0.160348
Q86U42,PABPN1,52,0.246996
Q86U42,PABPN1,53,0.235710
Q86U42,PABPN1,54,0.773333
Q86U42,PABPN1,55,0.198541
Q86U42,PABPN1,56,0.266654
Q86U42,PABPN1,57,0.116019
