uniprot_id,protein_name,score_index,score
Q8TC92,ENOX1,1,0.127527
Q8TC92,ENOX1,2,0.883269
Q8TC92,ENOX1,3,0.003299
Q8TC92,ENOX1,4,0.500000
Q8TC92,ENOX1,5,0.319278
Q8TC92,ENOX1,6,0.139474
Q8TC92,ENOX1,7,0.196532
Q8TC92,ENOX1,8,0.207254
Q8TC92,ENOX1,9,0.021748
Q8TC92,ENOX1,10,0.038697
Q8TC92,ENOX1,11,0.014474
Q8TC92,ENOX1,12,0.500000
Q8TC92,ENOX1,13,0.024066
Q8TC92,ENOX1,14,0.095081
Q8TC92,ENOX1,15,0.305142
Q8TC92,ENOX1,16,0.048254
Q8TC92,ENOX1,17,0.005267
Q8TC92,ENOX1,18,0.000032
Q8TC92,ENOX1,19,0.207087
Q8TC92,ENOX1,20,0.098455
Q8TC92,ENOX1,21,0.110434
Q8TC92,ENOX1,22,0.685597
Q8TC92,ENOX1,23,0.970842
Q8TC92,ENOX1,24,0.050222
Q8TC92,ENOX1,25,0.091101
Q8TC92,ENOX1,26,0.029721
Q8TC92,ENOX1,27,0.176485
Q8TC92,ENOX1,28,0.031379
Q8TC92,ENOX1,29,0.041672
Q8TC92,ENOX1,30,0.384071
Q8TC92,ENOX1,31,0.038334
Q8TC92,ENOX1,32,0.101615
Q8TC92,ENOX1,33,0.001922
Q8TC92,ENOX1,34,0.334337
Q8TC92,ENOX1,35,0.040634
Q8TC92,ENOX1,36,0.003115
Q8TC92,ENOX1,37,0.500000
Q8TC92,ENOX1,38,0.500000
Q8TC92,ENOX1,39,0.057059
Q8TC92,ENOX1,40,0.500000
Q8TC92,ENOX1,41,0.500000
Q8TC92,ENOX1,42,0.015378
Q8TC92,ENOX1,43,0.952254
Q8TC92,ENOX1,44,0.031470
Q8TC92,ENOX1,45,0.017037
Q8TC92,ENOX1,46,0.840752
Q8TC92,ENOX1,47,0.224323
Q8TC92,ENOX1,48,0.043076
Q8TC92,ENOX1,49,0.500000
Q8TC92,ENOX1,50,0.007231
Q8TC92,ENOX1,51,0.391463
Q8TC92,ENOX1,52,0.232857
Q8TC92,ENOX1,53,0.054733
Q8TC92,ENOX1,54,0.014326
Q8TC92,ENOX1,55,0.286139
Q8TC92,ENOX1,56,0.004197
Q8TC92,ENOX1,57,0.387516
Q8TC92,ENOX1,58,0.101499
Q8TC92,ENOX1,59,0.767975
Q8TC92,ENOX1,60,0.500000
Q8TC92,ENOX1,61,0.001271
Q8TC92,ENOX1,62,0.023803
Q8TC92,ENOX1,63,0.082480
Q8TC92,ENOX1,64,0.000009
Q8TC92,ENOX1,65,0.017461
Q8TC92,ENOX1,66,0.007122
Q8TC92,ENOX1,67,0.044986
Q8TC92,ENOX1,68,0.001506
Q8TC92,ENOX1,69,0.006237
Q8TC92,ENOX1,70,0.107214
Q8TC92,ENOX1,71,0.323804
Q8TC92,ENOX1,72,0.024004
Q8TC92,ENOX1,73,0.020313
Q8TC92,ENOX1,74,0.000541
Q8TC92,ENOX1,75,0.692944
Q8TC92,ENOX1,76,0.257426
Q8TC92,ENOX1,77,0.020454
Q8TC92,ENOX1,78,0.770593
Q8TC92,ENOX1,79,0.130903
Q8TC92,ENOX1,80,0.500000
Q8TC92,ENOX1,81,0.190774
Q8TC92,ENOX1,82,0.030640
Q8TC92,ENOX1,83,0.019031
Q8TC92,ENOX1,84,0.000117
Q8TC92,ENOX1,85,0.018949
Q8TC92,ENOX1,86,0.535397
Q8TC92,ENOX1,87,0.008173
Q8TC92,ENOX1,88,0.500000
Q8TC92,ENOX1,89,0.440880
Q8TC92,ENOX1,90,0.114706
Q8TC92,ENOX1,91,0.043061
Q8TC92,ENOX1,92,0.009620
Q8TC92,ENOX1,93,0.031512
Q8TC92,ENOX1,94,0.982325
Q8TC92,ENOX1,95,0.062340
Q8TC92,ENOX1,96,0.711968
Q8TC92,ENOX1,97,0.215088
Q8TC92,ENOX1,98,0.000688
Q8TC92,ENOX1,99,0.102540
Q8TC92,ENOX1,100,0.232753
Q8TC92,ENOX1,101,0.026518
Q8TC92,ENOX1,102,0.106517
Q8TC92,ENOX1,103,0.006865
Q8TC92,ENOX1,104,0.002017
Q8TC92,ENOX1,105,0.675133
Q8TC92,ENOX1,106,0.001681
Q8TC92,ENOX1,107,0.005731
Q8TC92,ENOX1,108,0.047840
Q8TC92,ENOX1,109,0.315646
Q8TC92,ENOX1,110,0.401942
Q8TC92,ENOX1,111,0.500000
Q8TC92,ENOX1,112,0.121250
Q8TC92,ENOX1,113,0.153977
Q8TC92,ENOX1,114,0.014404
