uniprot_id,protein_name,score_index,score
Q8WVV9,HNRNPLL,1,0.235879
Q8WVV9,HNRNPLL,2,0.500000
Q8WVV9,HNRNPLL,3,0.000003
Q8WVV9,HNRNPLL,4,0.730002
Q8WVV9,HNRNPLL,5,0.500000
Q8WVV9,HNRNPLL,6,0.975640
Q8WVV9,HNRNPLL,7,0.060810
Q8WVV9,HNRNPLL,8,0.046976
Q8WVV9,HNRNPLL,9,0.500000
Q8WVV9,HNRNPLL,10,0.091309
Q8WVV9,HNRNPLL,11,0.422217
Q8WVV9,HNRNPLL,12,0.981555
Q8WVV9,HNRNPLL,13,0.267774
Q8WVV9,HNRNPLL,14,0.500000
Q8WVV9,HNRNPLL,15,0.000568
Q8WVV9,HNRNPLL,16,0.500000
Q8WVV9,HNRNPLL,17,0.500000
Q8WVV9,HNRNPLL,18,0.425681
Q8WVV9,HNRNPLL,19,0.500000
Q8WVV9,HNRNPLL,20,0.500000
Q8WVV9,HNRNPLL,21,0.500000
Q8WVV9,HNRNPLL,22,0.500000
Q8WVV9,HNRNPLL,23,0.500000
Q8WVV9,HNRNPLL,24,0.500000
Q8WVV9,HNRNPLL,25,0.500000
Q8WVV9,HNRNPLL,26,0.001169
Q8WVV9,HNRNPLL,27,0.788418
Q8WVV9,HNRNPLL,28,0.000664
Q8WVV9,HNRNPLL,29,0.271263
Q8WVV9,HNRNPLL,30,0.000002
Q8WVV9,HNRNPLL,31,0.174577
Q8WVV9,HNRNPLL,32,0.001220
Q8WVV9,HNRNPLL,33,0.300457
Q8WVV9,HNRNPLL,34,0.500000
Q8WVV9,HNRNPLL,35,0.001658
Q8WVV9,HNRNPLL,36,0.520759
Q8WVV9,HNRNPLL,37,0.000006
Q8WVV9,HNRNPLL,38,0.500000
Q8WVV9,HNRNPLL,39,0.653191
Q8WVV9,HNRNPLL,40,0.006338
Q8WVV9,HNRNPLL,41,0.500000
Q8WVV9,HNRNPLL,42,0.770943
Q8WVV9,HNRNPLL,43,0.483735
Q8WVV9,HNRNPLL,44,0.003186
