uniprot_id,protein_name,score_index,score
Q96DU9,PABPC5,1,0.369168
Q96DU9,PABPC5,2,0.500000
Q96DU9,PABPC5,3,0.300767
Q96DU9,PABPC5,4,0.160279
Q96DU9,PABPC5,5,0.287986
Q96DU9,PABPC5,6,0.012548
Q96DU9,PABPC5,7,0.515063
Q96DU9,PABPC5,8,0.052487
Q96DU9,PABPC5,9,0.260561
Q96DU9,PABPC5,10,0.500000
Q96DU9,PABPC5,11,0.389544
Q96DU9,PABPC5,12,0.236831
Q96DU9,PABPC5,13,0.500000
Q96DU9,PABPC5,14,0.500000
Q96DU9,PABPC5,15,0.500000
Q96DU9,PABPC5,16,0.979076
Q96DU9,PABPC5,17,0.008750
Q96DU9,PABPC5,18,0.500000
Q96DU9,PABPC5,19,0.219471
Q96DU9,PABPC5,20,0.128304
Q96DU9,PABPC5,21,0.138208
Q96DU9,PABPC5,22,0.613423
Q96DU9,PABPC5,23,0.500000
Q96DU9,PABPC5,24,0.405427
Q96DU9,PABPC5,25,0.500000
Q96DU9,PABPC5,26,0.500000
Q96DU9,PABPC5,27,0.500000
Q96DU9,PABPC5,28,0.016085
Q96DU9,PABPC5,29,0.500000
Q96DU9,PABPC5,30,0.349123
Q96DU9,PABPC5,31,0.004898
Q96DU9,PABPC5,32,0.333761
Q96DU9,PABPC5,33,0.374321
Q96DU9,PABPC5,34,0.392636
Q96DU9,PABPC5,35,0.500000
Q96DU9,PABPC5,36,0.311841
Q96DU9,PABPC5,37,0.392636
Q96DU9,PABPC5,38,0.221807
Q96DU9,PABPC5,39,0.467126
Q96DU9,PABPC5,40,0.500000
Q96DU9,PABPC5,41,0.311216
Q96DU9,PABPC5,42,0.333761
Q96DU9,PABPC5,43,0.500000
Q96DU9,PABPC5,44,0.107547
Q96DU9,PABPC5,45,0.392636
Q96DU9,PABPC5,46,0.392636
Q96DU9,PABPC5,47,0.282422
Q96DU9,PABPC5,48,0.500000
Q96DU9,PABPC5,49,0.012609
Q96DU9,PABPC5,50,0.434679
Q96DU9,PABPC5,51,0.500000
Q96DU9,PABPC5,52,0.653822
Q96DU9,PABPC5,53,0.208621
Q96DU9,PABPC5,54,0.010587
Q96DU9,PABPC5,55,0.500000
Q96DU9,PABPC5,56,0.467983
Q96DU9,PABPC5,57,0.433127
Q96DU9,PABPC5,58,0.392636
Q96DU9,PABPC5,59,0.299788
Q96DU9,PABPC5,60,0.392636
Q96DU9,PABPC5,61,0.500000
Q96DU9,PABPC5,62,0.504533
Q96DU9,PABPC5,63,0.500000
Q96DU9,PABPC5,64,0.100737
Q96DU9,PABPC5,65,0.150691
Q96DU9,PABPC5,66,0.703939
Q96DU9,PABPC5,67,0.110445
Q96DU9,PABPC5,68,0.500000
Q96DU9,PABPC5,69,0.811957
Q96DU9,PABPC5,70,0.495559
Q96DU9,PABPC5,71,0.392636
Q96DU9,PABPC5,72,0.500204
Q96DU9,PABPC5,73,0.254062
Q96DU9,PABPC5,74,0.232833
Q96DU9,PABPC5,75,0.418034
Q96DU9,PABPC5,76,0.968955
Q96DU9,PABPC5,77,0.296555
Q96DU9,PABPC5,78,0.447465
Q96DU9,PABPC5,79,0.392636
Q96DU9,PABPC5,80,0.132351
Q96DU9,PABPC5,81,0.392636
Q96DU9,PABPC5,82,0.301293
Q96DU9,PABPC5,83,0.199461
Q96DU9,PABPC5,84,0.343342
Q96DU9,PABPC5,85,0.392636
Q96DU9,PABPC5,86,0.165495
Q96DU9,PABPC5,87,0.500000
Q96DU9,PABPC5,88,0.500000
Q96DU9,PABPC5,89,0.420491
Q96DU9,PABPC5,90,0.392636
Q96DU9,PABPC5,91,0.336563
Q96DU9,PABPC5,92,0.486333
Q96DU9,PABPC5,93,0.240840
Q96DU9,PABPC5,94,0.500000
Q96DU9,PABPC5,95,0.684456
Q96DU9,PABPC5,96,0.331806
Q96DU9,PABPC5,97,0.500000
Q96DU9,PABPC5,98,0.233506
Q96DU9,PABPC5,99,0.392636
Q96DU9,PABPC5,100,0.000031
Q96DU9,PABPC5,101,0.666075
Q96DU9,PABPC5,102,0.435223
Q96DU9,PABPC5,103,0.500000
Q96DU9,PABPC5,104,0.261338
Q96DU9,PABPC5,105,0.500000
Q96DU9,PABPC5,106,0.500000
Q96DU9,PABPC5,107,0.030908
Q96DU9,PABPC5,108,0.020942
Q96DU9,PABPC5,109,0.103284
Q96DU9,PABPC5,110,0.369168
Q96DU9,PABPC5,111,0.429243
Q96DU9,PABPC5,112,0.500000
Q96DU9,PABPC5,113,0.346638
Q96DU9,PABPC5,114,0.059436
Q96DU9,PABPC5,115,0.057936
Q96DU9,PABPC5,116,0.199461
Q96DU9,PABPC5,117,0.072905
Q96DU9,PABPC5,118,0.199461
Q96DU9,PABPC5,119,0.377098
Q96DU9,PABPC5,120,0.047786
Q96DU9,PABPC5,121,0.315553
Q96DU9,PABPC5,122,0.506710
Q96DU9,PABPC5,123,0.364370
Q96DU9,PABPC5,124,0.063255
Q96DU9,PABPC5,125,0.096383
Q96DU9,PABPC5,126,0.333761
Q96DU9,PABPC5,127,0.595221
Q96DU9,PABPC5,128,0.122246
Q96DU9,PABPC5,129,0.116471
Q96DU9,PABPC5,130,0.002494
Q96DU9,PABPC5,131,0.995229
Q96DU9,PABPC5,132,0.199461
Q96DU9,PABPC5,133,0.172925
Q96DU9,PABPC5,134,0.500000
Q96DU9,PABPC5,135,0.271157
Q96DU9,PABPC5,136,0.500000
Q96DU9,PABPC5,137,0.306754
Q96DU9,PABPC5,138,0.500000
Q96DU9,PABPC5,139,0.500000
Q96DU9,PABPC5,140,0.000022
Q96DU9,PABPC5,141,0.129187
Q96DU9,PABPC5,142,0.106355
Q96DU9,PABPC5,143,0.500000
Q96DU9,PABPC5,144,0.392636
Q96DU9,PABPC5,145,0.339644
Q96DU9,PABPC5,146,0.998079
Q96DU9,PABPC5,147,0.952759
Q96DU9,PABPC5,148,0.628047
Q96DU9,PABPC5,149,0.769041
Q96DU9,PABPC5,150,0.092012
Q96DU9,PABPC5,151,0.392636
Q96DU9,PABPC5,152,0.039044
Q96DU9,PABPC5,153,0.517016
Q96DU9,PABPC5,154,0.500000
Q96DU9,PABPC5,155,0.500000
Q96DU9,PABPC5,156,0.392636
Q96DU9,PABPC5,157,0.785617
Q96DU9,PABPC5,158,0.333761
Q96DU9,PABPC5,159,0.182406
Q96DU9,PABPC5,160,0.895047
Q96DU9,PABPC5,161,0.500000
Q96DU9,PABPC5,162,0.328460
Q96DU9,PABPC5,163,0.106495
Q96DU9,PABPC5,164,0.500000
Q96DU9,PABPC5,165,0.249347
Q96DU9,PABPC5,166,0.500000
Q96DU9,PABPC5,167,0.392636
Q96DU9,PABPC5,168,0.068842
Q96DU9,PABPC5,169,0.357846
Q96DU9,PABPC5,170,0.001215
Q96DU9,PABPC5,171,0.825840
Q96DU9,PABPC5,172,0.423699
Q96DU9,PABPC5,173,0.221585
Q96DU9,PABPC5,174,0.289964
Q96DU9,PABPC5,175,0.312436
Q96DU9,PABPC5,176,0.500000
Q96DU9,PABPC5,177,0.500000
Q96DU9,PABPC5,178,0.264511
Q96DU9,PABPC5,179,0.467983
Q96DU9,PABPC5,180,0.346062
Q96DU9,PABPC5,181,0.138939
Q96DU9,PABPC5,182,0.500000
Q96DU9,PABPC5,183,0.500000
Q96DU9,PABPC5,184,0.500000
Q96DU9,PABPC5,185,0.500000
Q96DU9,PABPC5,186,0.199461
Q96DU9,PABPC5,187,0.051240
Q96DU9,PABPC5,188,0.500000
Q96DU9,PABPC5,189,0.148082
Q96DU9,PABPC5,190,0.877104
Q96DU9,PABPC5,191,0.392636
Q96DU9,PABPC5,192,0.392636
Q96DU9,PABPC5,193,0.443724
Q96DU9,PABPC5,194,0.392636
