uniprot_id,protein_name,score_index,score
Q96IZ5,RBM41,1,0.000003
Q96IZ5,RBM41,2,0.000081
Q96IZ5,RBM41,3,0.000012
Q96IZ5,RBM41,4,0.000033
Q96IZ5,RBM41,5,0.007694
Q96IZ5,RBM41,6,0.000000
Q96IZ5,RBM41,7,0.000070
Q96IZ5,RBM41,8,0.000005
Q96IZ5,RBM41,9,0.006533
Q96IZ5,RBM41,10,0.001698
Q96IZ5,RBM41,11,0.004162
Q96IZ5,RBM41,12,0.000049
Q96IZ5,RBM41,13,0.500000
Q96IZ5,RBM41,14,0.000112
Q96IZ5,RBM41,15,0.001363
Q96IZ5,RBM41,16,0.002955
Q96IZ5,RBM41,17,0.000000
Q96IZ5,RBM41,18,0.000007
Q96IZ5,RBM41,19,0.000000
Q96IZ5,RBM41,20,0.500000
Q96IZ5,RBM41,21,0.000002
Q96IZ5,RBM41,22,0.000000
Q96IZ5,RBM41,23,0.000018
Q96IZ5,RBM41,24,0.000884
Q96IZ5,RBM41,25,0.017258
Q96IZ5,RBM41,26,0.000003
Q96IZ5,RBM41,27,0.011632
Q96IZ5,RBM41,28,0.113738
Q96IZ5,RBM41,29,0.000145
Q96IZ5,RBM41,30,0.000006
Q96IZ5,RBM41,31,0.190447
Q96IZ5,RBM41,32,0.000150
Q96IZ5,RBM41,33,0.000046
Q96IZ5,RBM41,34,0.000181
Q96IZ5,RBM41,35,0.005788
Q96IZ5,RBM41,36,0.000000
Q96IZ5,RBM41,37,0.001818
Q96IZ5,RBM41,38,0.500000
Q96IZ5,RBM41,39,0.002725
Q96IZ5,RBM41,40,0.000001
Q96IZ5,RBM41,41,0.500000
Q96IZ5,RBM41,42,0.000948
Q96IZ5,RBM41,43,0.000001
Q96IZ5,RBM41,44,0.000158
Q96IZ5,RBM41,45,0.000500
Q96IZ5,RBM41,46,0.007836
Q96IZ5,RBM41,47,0.000893
Q96IZ5,RBM41,48,0.002890
Q96IZ5,RBM41,49,0.000002
Q96IZ5,RBM41,50,0.000003
Q96IZ5,RBM41,51,0.000010
Q96IZ5,RBM41,52,0.032128
Q96IZ5,RBM41,53,0.011420
Q96IZ5,RBM41,54,0.000900
Q96IZ5,RBM41,55,0.001632
Q96IZ5,RBM41,56,0.028227
Q96IZ5,RBM41,57,0.000699
Q96IZ5,RBM41,58,0.000033
Q96IZ5,RBM41,59,0.000001
Q96IZ5,RBM41,60,0.000011
Q96IZ5,RBM41,61,0.000222
Q96IZ5,RBM41,62,0.000003
Q96IZ5,RBM41,63,0.000033
Q96IZ5,RBM41,64,0.000198
Q96IZ5,RBM41,65,0.000044
Q96IZ5,RBM41,66,0.000000
Q96IZ5,RBM41,67,0.008241
Q96IZ5,RBM41,68,0.031602
Q96IZ5,RBM41,69,0.000204
Q96IZ5,RBM41,70,0.000362
Q96IZ5,RBM41,71,0.000003
Q96IZ5,RBM41,72,0.000006
Q96IZ5,RBM41,73,0.000009
Q96IZ5,RBM41,74,0.000042
Q96IZ5,RBM41,75,0.500000
Q96IZ5,RBM41,76,0.020072
Q96IZ5,RBM41,77,0.002922
Q96IZ5,RBM41,78,0.000086
Q96IZ5,RBM41,79,0.000146
Q96IZ5,RBM41,80,0.000054
Q96IZ5,RBM41,81,0.019862
