uniprot_id,protein_name,score_index,score
Q96J87,CELF6,1,0.000000
Q96J87,CELF6,2,0.000001
Q96J87,CELF6,3,0.134582
Q96J87,CELF6,4,0.004924
Q96J87,CELF6,5,0.008404
Q96J87,CELF6,6,0.500000
Q96J87,CELF6,7,0.000002
Q96J87,CELF6,8,0.499253
Q96J87,CELF6,9,0.513327
Q96J87,CELF6,10,0.000032
Q96J87,CELF6,11,0.034836
Q96J87,CELF6,12,0.143868
Q96J87,CELF6,13,0.959499
Q96J87,CELF6,14,0.500000
Q96J87,CELF6,15,0.188833
Q96J87,CELF6,16,0.500000
Q96J87,CELF6,17,0.000172
Q96J87,CELF6,18,0.429250
Q96J87,CELF6,19,0.000510
Q96J87,CELF6,20,0.500000
Q96J87,CELF6,21,0.500000
Q96J87,CELF6,22,0.005457
Q96J87,CELF6,23,0.000354
Q96J87,CELF6,24,0.000003
Q96J87,CELF6,25,0.434664
Q96J87,CELF6,26,0.422000
Q96J87,CELF6,27,0.078369
Q96J87,CELF6,28,0.000000
Q96J87,CELF6,29,0.018977
Q96J87,CELF6,30,0.083415
Q96J87,CELF6,31,0.500000
Q96J87,CELF6,32,0.002856
Q96J87,CELF6,33,0.001165
Q96J87,CELF6,34,0.000000
Q96J87,CELF6,35,0.000002
Q96J87,CELF6,36,0.500000
Q96J87,CELF6,37,0.019640
Q96J87,CELF6,38,0.001181
Q96J87,CELF6,39,0.112118
Q96J87,CELF6,40,0.073041
Q96J87,CELF6,41,0.224851
Q96J87,CELF6,42,0.323844
Q96J87,CELF6,43,0.500000
Q96J87,CELF6,44,0.500000
Q96J87,CELF6,45,0.000205
Q96J87,CELF6,46,0.000016
Q96J87,CELF6,47,0.001159
Q96J87,CELF6,48,0.500000
Q96J87,CELF6,49,0.500000
Q96J87,CELF6,50,0.000003
Q96J87,CELF6,51,0.000041
Q96J87,CELF6,52,0.500000
Q96J87,CELF6,53,0.500000
Q96J87,CELF6,54,0.000067
Q96J87,CELF6,55,0.509590
Q96J87,CELF6,56,0.110171
Q96J87,CELF6,57,0.000019
Q96J87,CELF6,58,0.500000
Q96J87,CELF6,59,0.008394
Q96J87,CELF6,60,0.001200
Q96J87,CELF6,61,0.500000
Q96J87,CELF6,62,0.500000
Q96J87,CELF6,63,0.243459
Q96J87,CELF6,64,0.500000
Q96J87,CELF6,65,0.500000
Q96J87,CELF6,66,0.015409
Q96J87,CELF6,67,0.120953
Q96J87,CELF6,68,0.354102
Q96J87,CELF6,69,0.003250
Q96J87,CELF6,70,0.500000
Q96J87,CELF6,71,0.001551
Q96J87,CELF6,72,0.000005
Q96J87,CELF6,73,0.000007
Q96J87,CELF6,74,0.421349
Q96J87,CELF6,75,0.000000
Q96J87,CELF6,76,0.500000
Q96J87,CELF6,77,0.195537
Q96J87,CELF6,78,0.428795
Q96J87,CELF6,79,0.500000
Q96J87,CELF6,80,0.000000
Q96J87,CELF6,81,0.000111
Q96J87,CELF6,82,0.000000
Q96J87,CELF6,83,0.137409
Q96J87,CELF6,84,0.500000
Q96J87,CELF6,85,0.000000
Q96J87,CELF6,86,0.000198
Q96J87,CELF6,87,0.500000
Q96J87,CELF6,88,0.057669
Q96J87,CELF6,89,0.045306
Q96J87,CELF6,90,0.000042
Q96J87,CELF6,91,0.000011
Q96J87,CELF6,92,0.000309
Q96J87,CELF6,93,0.000363
Q96J87,CELF6,94,0.500000
Q96J87,CELF6,95,0.000222
Q96J87,CELF6,96,0.201451
Q96J87,CELF6,97,0.080026
Q96J87,CELF6,98,0.500000
Q96J87,CELF6,99,0.500000
Q96J87,CELF6,100,0.442376
Q96J87,CELF6,101,0.000065
Q96J87,CELF6,102,0.000000
Q96J87,CELF6,103,0.000060
Q96J87,CELF6,104,0.003514
Q96J87,CELF6,105,0.000033
Q96J87,CELF6,106,0.200034
Q96J87,CELF6,107,0.002776
Q96J87,CELF6,108,0.002370
Q96J87,CELF6,109,0.000005
