uniprot_id,protein_name,score_index,score
Q96PU8,QKI,1,0.131383
Q96PU8,QKI,2,0.134072
Q96PU8,QKI,3,0.193236
Q96PU8,QKI,4,0.500000
Q96PU8,QKI,5,0.546565
Q96PU8,QKI,6,0.138789
Q96PU8,QKI,7,0.061772
Q96PU8,QKI,8,0.024533
Q96PU8,QKI,9,0.006759
Q96PU8,QKI,10,0.078005
Q96PU8,QKI,11,0.002351
Q96PU8,QKI,12,0.145244
Q96PU8,QKI,13,0.100629
Q96PU8,QKI,14,0.022738
Q96PU8,QKI,15,0.529175
Q96PU8,QKI,16,0.660362
Q96PU8,QKI,17,0.131383
Q96PU8,QKI,18,0.534424
Q96PU8,QKI,19,0.743188
Q96PU8,QKI,20,0.500000
Q96PU8,QKI,21,0.120764
Q96PU8,QKI,22,0.534424
Q96PU8,QKI,23,0.234766
Q96PU8,QKI,24,0.034965
Q96PU8,QKI,25,0.131728
Q96PU8,QKI,26,0.252836
Q96PU8,QKI,27,0.441034
Q96PU8,QKI,28,0.436040
Q96PU8,QKI,29,0.462338
Q96PU8,QKI,30,0.708186
Q96PU8,QKI,31,0.660362
Q96PU8,QKI,32,0.117276
Q96PU8,QKI,33,0.427695
Q96PU8,QKI,34,0.493853
Q96PU8,QKI,35,0.229066
Q96PU8,QKI,36,0.030082
Q96PU8,QKI,37,0.008676
Q96PU8,QKI,38,0.236292
Q96PU8,QKI,39,0.552736
Q96PU8,QKI,40,0.483613
Q96PU8,QKI,41,0.038791
Q96PU8,QKI,42,0.087385
Q96PU8,QKI,43,0.226965
Q96PU8,QKI,44,0.226999
Q96PU8,QKI,45,0.061975
Q96PU8,QKI,46,0.268054
Q96PU8,QKI,47,0.124248
Q96PU8,QKI,48,0.018357
Q96PU8,QKI,49,0.050637
Q96PU8,QKI,50,0.055237
Q96PU8,QKI,51,0.002347
Q96PU8,QKI,52,0.290197
Q96PU8,QKI,53,0.675624
Q96PU8,QKI,54,0.631363
Q96PU8,QKI,55,0.001936
Q96PU8,QKI,56,0.238491
Q96PU8,QKI,57,0.010168
Q96PU8,QKI,58,0.051244
Q96PU8,QKI,59,0.500000
Q96PU8,QKI,60,0.340549
Q96PU8,QKI,61,0.339330
Q96PU8,QKI,62,0.012149
Q96PU8,QKI,63,0.005493
Q96PU8,QKI,64,0.500000
Q96PU8,QKI,65,0.251044
Q96PU8,QKI,66,0.067174
Q96PU8,QKI,67,0.777125
Q96PU8,QKI,68,0.107878
Q96PU8,QKI,69,0.663579
Q96PU8,QKI,70,0.220990
Q96PU8,QKI,71,0.426445
Q96PU8,QKI,72,0.791535
Q96PU8,QKI,73,0.507390
Q96PU8,QKI,74,0.725913
Q96PU8,QKI,75,0.419974
Q96PU8,QKI,76,0.175023
Q96PU8,QKI,77,0.013556
Q96PU8,QKI,78,0.044277
Q96PU8,QKI,79,0.308374
Q96PU8,QKI,80,0.014168
Q96PU8,QKI,81,0.200802
Q96PU8,QKI,82,0.092490
Q96PU8,QKI,83,0.486057
Q96PU8,QKI,84,0.145386
Q96PU8,QKI,85,0.267857
Q96PU8,QKI,86,0.273696
Q96PU8,QKI,87,0.050078
Q96PU8,QKI,88,0.375567
Q96PU8,QKI,89,0.556257
Q96PU8,QKI,90,0.007823
Q96PU8,QKI,91,0.581513
Q96PU8,QKI,92,0.141312
Q96PU8,QKI,93,0.500000
Q96PU8,QKI,94,0.593774
Q96PU8,QKI,95,0.646515
Q96PU8,QKI,96,0.048665
Q96PU8,QKI,97,0.328642
Q96PU8,QKI,98,0.004912
Q96PU8,QKI,99,0.142722
Q96PU8,QKI,100,0.562542
Q96PU8,QKI,101,0.247124
Q96PU8,QKI,102,0.653098
Q96PU8,QKI,103,0.004206
Q96PU8,QKI,104,0.039628
Q96PU8,QKI,105,0.002781
Q96PU8,QKI,106,0.048136
Q96PU8,QKI,107,0.360606
Q96PU8,QKI,108,0.206721
Q96PU8,QKI,109,0.454633
Q96PU8,QKI,110,0.001417
Q96PU8,QKI,111,0.660362
Q96PU8,QKI,112,0.008636
Q96PU8,QKI,113,0.295314
Q96PU8,QKI,114,0.715290
Q96PU8,QKI,115,0.724698
Q96PU8,QKI,116,0.000550
Q96PU8,QKI,117,0.396890
Q96PU8,QKI,118,0.112486
Q96PU8,QKI,119,0.462698
Q96PU8,QKI,120,0.041602
Q96PU8,QKI,121,0.046524
Q96PU8,QKI,122,0.202757
Q96PU8,QKI,123,0.394429
Q96PU8,QKI,124,0.304648
Q96PU8,QKI,125,0.687249
Q96PU8,QKI,126,0.066582
Q96PU8,QKI,127,0.232555
Q96PU8,QKI,128,0.084809
Q96PU8,QKI,129,0.854755
Q96PU8,QKI,130,0.447445
Q96PU8,QKI,131,0.194729
Q96PU8,QKI,132,0.146873
Q96PU8,QKI,133,0.422414
Q96PU8,QKI,134,0.041100
Q96PU8,QKI,135,0.076943
Q96PU8,QKI,136,0.022921
Q96PU8,QKI,137,0.191962
Q96PU8,QKI,138,0.020303
Q96PU8,QKI,139,0.261332
Q96PU8,QKI,140,0.815933
Q96PU8,QKI,141,0.333859
Q96PU8,QKI,142,0.112460
Q96PU8,QKI,143,0.057258
Q96PU8,QKI,144,0.574960
Q96PU8,QKI,145,0.013386
Q96PU8,QKI,146,0.016480
Q96PU8,QKI,147,0.272843
Q96PU8,QKI,148,0.500000
Q96PU8,QKI,149,0.064388
Q96PU8,QKI,150,0.037733
Q96PU8,QKI,151,0.048864
Q96PU8,QKI,152,0.093841
Q96PU8,QKI,153,0.005614
Q96PU8,QKI,154,0.489274
Q96PU8,QKI,155,0.023242
Q96PU8,QKI,156,0.530601
Q96PU8,QKI,157,0.425076
Q96PU8,QKI,158,0.713650
Q96PU8,QKI,159,0.085534
Q96PU8,QKI,160,0.040456
Q96PU8,QKI,161,0.291198
Q96PU8,QKI,162,0.628239
Q96PU8,QKI,163,0.140084
Q96PU8,QKI,164,0.534296
Q96PU8,QKI,165,0.210677
Q96PU8,QKI,166,0.119068
Q96PU8,QKI,167,0.156653
Q96PU8,QKI,168,0.000619
Q96PU8,QKI,169,0.009128
Q96PU8,QKI,170,0.674858
Q96PU8,QKI,171,0.136679
Q96PU8,QKI,172,0.015852
Q96PU8,QKI,173,0.133036
Q96PU8,QKI,174,0.077921
Q96PU8,QKI,175,0.630771
Q96PU8,QKI,176,0.183872
Q96PU8,QKI,177,0.001699
Q96PU8,QKI,178,0.273493
Q96PU8,QKI,179,0.433719
Q96PU8,QKI,180,0.660362
Q96PU8,QKI,181,0.352655
Q96PU8,QKI,182,0.217541
Q96PU8,QKI,183,0.205643
Q96PU8,QKI,184,0.351073
Q96PU8,QKI,185,0.506651
Q96PU8,QKI,186,0.082841
Q96PU8,QKI,187,0.634682
Q96PU8,QKI,188,0.661475
Q96PU8,QKI,189,0.029884
Q96PU8,QKI,190,0.092523
Q96PU8,QKI,191,0.141125
Q96PU8,QKI,192,0.219698
Q96PU8,QKI,193,0.220062
Q96PU8,QKI,194,0.660362
Q96PU8,QKI,195,0.601718
Q96PU8,QKI,196,0.660362
Q96PU8,QKI,197,0.006751
Q96PU8,QKI,198,0.305660
Q96PU8,QKI,199,0.246745
Q96PU8,QKI,200,0.205267
Q96PU8,QKI,201,0.191832
Q96PU8,QKI,202,0.661075
Q96PU8,QKI,203,0.213847
Q96PU8,QKI,204,0.036937
Q96PU8,QKI,205,0.019422
Q96PU8,QKI,206,0.063972
Q96PU8,QKI,207,0.085599
Q96PU8,QKI,208,0.660362
Q96PU8,QKI,209,0.582042
Q96PU8,QKI,210,0.643770
Q96PU8,QKI,211,0.014078
Q96PU8,QKI,212,0.105086
Q96PU8,QKI,213,0.589576
Q96PU8,QKI,214,0.650746
Q96PU8,QKI,215,0.264954
Q96PU8,QKI,216,0.250434
Q96PU8,QKI,217,0.534424
Q96PU8,QKI,218,0.403497
Q96PU8,QKI,219,0.565182
Q96PU8,QKI,220,0.621490
Q96PU8,QKI,221,0.289012
Q96PU8,QKI,222,0.095444
Q96PU8,QKI,223,0.013793
Q96PU8,QKI,224,0.411977
Q96PU8,QKI,225,0.300815
Q96PU8,QKI,226,0.844866
Q96PU8,QKI,227,0.038564
Q96PU8,QKI,228,0.252090
Q96PU8,QKI,229,0.265477
Q96PU8,QKI,230,0.125682
Q96PU8,QKI,231,0.551569
Q96PU8,QKI,232,0.064159
Q96PU8,QKI,233,0.198304
Q96PU8,QKI,234,0.108517
Q96PU8,QKI,235,0.023430
Q96PU8,QKI,236,0.205863
Q96PU8,QKI,237,0.000481
Q96PU8,QKI,238,0.569152
Q96PU8,QKI,239,0.017691
Q96PU8,QKI,240,0.111844
Q96PU8,QKI,241,0.271240
Q96PU8,QKI,242,0.384914
Q96PU8,QKI,243,0.022437
Q96PU8,QKI,244,0.021363
Q96PU8,QKI,245,0.500000
Q96PU8,QKI,246,0.200568
Q96PU8,QKI,247,0.009695
Q96PU8,QKI,248,0.552909
Q96PU8,QKI,249,0.382585
Q96PU8,QKI,250,0.108192
Q96PU8,QKI,251,0.388157
Q96PU8,QKI,252,0.024823
Q96PU8,QKI,253,0.069154
Q96PU8,QKI,254,0.500000
Q96PU8,QKI,255,0.067020
Q96PU8,QKI,256,0.043936
Q96PU8,QKI,257,0.014493
Q96PU8,QKI,258,0.902360
Q96PU8,QKI,259,0.094142
Q96PU8,QKI,260,0.681582
Q96PU8,QKI,261,0.039614
Q96PU8,QKI,262,0.088345
Q96PU8,QKI,263,0.202990
Q96PU8,QKI,264,0.148786
Q96PU8,QKI,265,0.453263
Q96PU8,QKI,266,0.007621
Q96PU8,QKI,267,0.568495
Q96PU8,QKI,268,0.035367
Q96PU8,QKI,269,0.056562
Q96PU8,QKI,270,0.002702
Q96PU8,QKI,271,0.069429
Q96PU8,QKI,272,0.005852
Q96PU8,QKI,273,0.014708
Q96PU8,QKI,274,0.055990
Q96PU8,QKI,275,0.049931
Q96PU8,QKI,276,0.226442
Q96PU8,QKI,277,0.538519
Q96PU8,QKI,278,0.016499
