uniprot_id,protein_name,score_index,score
Q9BTD8,RBM42,1,0.000151
Q9BTD8,RBM42,2,0.000007
Q9BTD8,RBM42,3,0.000003
Q9BTD8,RBM42,4,0.000020
Q9BTD8,RBM42,5,0.000002
Q9BTD8,RBM42,6,0.000103
Q9BTD8,RBM42,7,0.206409
Q9BTD8,RBM42,8,0.000000
Q9BTD8,RBM42,9,0.000027
Q9BTD8,RBM42,10,0.000017
Q9BTD8,RBM42,11,0.000010
Q9BTD8,RBM42,12,0.000610
Q9BTD8,RBM42,13,0.000139
Q9BTD8,RBM42,14,0.000000
Q9BTD8,RBM42,15,0.000001
Q9BTD8,RBM42,16,0.000006
Q9BTD8,RBM42,17,0.000002
Q9BTD8,RBM42,18,0.000005
Q9BTD8,RBM42,19,0.000010
Q9BTD8,RBM42,20,0.000006
Q9BTD8,RBM42,21,0.000001
Q9BTD8,RBM42,22,0.000028
Q9BTD8,RBM42,23,0.000004
Q9BTD8,RBM42,24,0.000022
Q9BTD8,RBM42,25,0.000065
Q9BTD8,RBM42,26,0.000003
Q9BTD8,RBM42,27,0.000102
Q9BTD8,RBM42,28,0.000025
Q9BTD8,RBM42,29,0.000163
Q9BTD8,RBM42,30,0.000024
Q9BTD8,RBM42,31,0.000019
Q9BTD8,RBM42,32,0.000013
Q9BTD8,RBM42,33,0.000004
Q9BTD8,RBM42,34,0.000247
Q9BTD8,RBM42,35,0.000002
Q9BTD8,RBM42,36,0.000024
Q9BTD8,RBM42,37,0.000003
Q9BTD8,RBM42,38,0.000021
Q9BTD8,RBM42,39,0.000000
Q9BTD8,RBM42,40,0.000077
Q9BTD8,RBM42,41,0.000016
Q9BTD8,RBM42,42,0.000019
Q9BTD8,RBM42,43,0.000007
Q9BTD8,RBM42,44,0.000000
Q9BTD8,RBM42,45,0.000001
Q9BTD8,RBM42,46,0.000003
Q9BTD8,RBM42,47,0.000014
Q9BTD8,RBM42,48,0.000001
Q9BTD8,RBM42,49,0.000002
Q9BTD8,RBM42,50,0.000002
Q9BTD8,RBM42,51,0.000046
Q9BTD8,RBM42,52,0.000027
Q9BTD8,RBM42,53,0.000000
Q9BTD8,RBM42,54,0.000006
Q9BTD8,RBM42,55,0.000001
Q9BTD8,RBM42,56,0.000028
Q9BTD8,RBM42,57,0.000002
Q9BTD8,RBM42,58,0.000005
Q9BTD8,RBM42,59,0.000005
Q9BTD8,RBM42,60,0.034888
Q9BTD8,RBM42,61,0.000000
Q9BTD8,RBM42,62,0.000000
Q9BTD8,RBM42,63,0.000003
Q9BTD8,RBM42,64,0.000002
Q9BTD8,RBM42,65,0.000002
Q9BTD8,RBM42,66,0.000005
Q9BTD8,RBM42,67,0.000000
Q9BTD8,RBM42,68,0.000001
Q9BTD8,RBM42,69,0.000009
Q9BTD8,RBM42,70,0.000080
