uniprot_id,protein_name,score_index,score
Q9BX46,RBM24,1,0.255335
Q9BX46,RBM24,2,0.001672
Q9BX46,RBM24,3,0.005142
Q9BX46,RBM24,4,0.275940
Q9BX46,RBM24,5,0.028149
Q9BX46,RBM24,6,0.005767
Q9BX46,RBM24,7,0.792584
Q9BX46,RBM24,8,0.011788
Q9BX46,RBM24,9,0.081214
Q9BX46,RBM24,10,0.016732
Q9BX46,RBM24,11,0.046160
Q9BX46,RBM24,12,0.772940
Q9BX46,RBM24,13,0.000171
Q9BX46,RBM24,14,0.258232
Q9BX46,RBM24,15,0.045104
Q9BX46,RBM24,16,0.088809
Q9BX46,RBM24,17,0.003515
Q9BX46,RBM24,18,0.010602
Q9BX46,RBM24,19,0.301278
Q9BX46,RBM24,20,0.034681
Q9BX46,RBM24,21,0.546593
Q9BX46,RBM24,22,0.011396
Q9BX46,RBM24,23,0.001740
Q9BX46,RBM24,24,0.729794
Q9BX46,RBM24,25,0.005812
Q9BX46,RBM24,26,0.305004
Q9BX46,RBM24,27,0.007338
Q9BX46,RBM24,28,0.024060
Q9BX46,RBM24,29,0.107504
Q9BX46,RBM24,30,0.361832
Q9BX46,RBM24,31,0.002515
Q9BX46,RBM24,32,0.760593
Q9BX46,RBM24,33,0.043634
Q9BX46,RBM24,34,0.015312
Q9BX46,RBM24,35,0.002133
Q9BX46,RBM24,36,0.064647
Q9BX46,RBM24,37,0.005092
Q9BX46,RBM24,38,0.050102
Q9BX46,RBM24,39,0.084998
Q9BX46,RBM24,40,0.001276
Q9BX46,RBM24,41,0.011622
Q9BX46,RBM24,42,0.002999
Q9BX46,RBM24,43,0.007219
Q9BX46,RBM24,44,0.465077
Q9BX46,RBM24,45,0.016370
Q9BX46,RBM24,46,0.077189
Q9BX46,RBM24,47,0.001357
Q9BX46,RBM24,48,0.906303
Q9BX46,RBM24,49,0.302498
Q9BX46,RBM24,50,0.117228
Q9BX46,RBM24,51,0.009051
Q9BX46,RBM24,52,0.671778
Q9BX46,RBM24,53,0.005632
Q9BX46,RBM24,54,0.001504
Q9BX46,RBM24,55,0.018412
Q9BX46,RBM24,56,0.020786
Q9BX46,RBM24,57,0.001242
Q9BX46,RBM24,58,0.942664
Q9BX46,RBM24,59,0.050820
Q9BX46,RBM24,60,0.089636
Q9BX46,RBM24,61,0.001600
Q9BX46,RBM24,62,0.002014
Q9BX46,RBM24,63,0.000794
Q9BX46,RBM24,64,0.031610
Q9BX46,RBM24,65,0.322159
Q9BX46,RBM24,66,0.000883
Q9BX46,RBM24,67,0.189168
Q9BX46,RBM24,68,0.022450
Q9BX46,RBM24,69,0.004085
Q9BX46,RBM24,70,0.490357
Q9BX46,RBM24,71,0.818593
Q9BX46,RBM24,72,0.045743
Q9BX46,RBM24,73,0.297898
Q9BX46,RBM24,74,0.064167
Q9BX46,RBM24,75,0.217196
Q9BX46,RBM24,76,0.000110
Q9BX46,RBM24,77,0.061522
Q9BX46,RBM24,78,0.003153
Q9BX46,RBM24,79,0.000781
Q9BX46,RBM24,80,0.002600
Q9BX46,RBM24,81,0.030515
Q9BX46,RBM24,82,0.053483
Q9BX46,RBM24,83,0.000379
Q9BX46,RBM24,84,0.024049
Q9BX46,RBM24,85,0.013059
Q9BX46,RBM24,86,0.004229
Q9BX46,RBM24,87,0.394941
Q9BX46,RBM24,88,0.152437
Q9BX46,RBM24,89,0.004456
Q9BX46,RBM24,90,0.788413
Q9BX46,RBM24,91,0.069151
Q9BX46,RBM24,92,0.354778
Q9BX46,RBM24,93,0.015499
Q9BX46,RBM24,94,0.997778
Q9BX46,RBM24,95,0.069734
Q9BX46,RBM24,96,0.010427
Q9BX46,RBM24,97,0.084704
Q9BX46,RBM24,98,0.112142
Q9BX46,RBM24,99,0.004532
Q9BX46,RBM24,100,0.945310
Q9BX46,RBM24,101,0.006651
Q9BX46,RBM24,102,0.865174
Q9BX46,RBM24,103,0.032468
Q9BX46,RBM24,104,0.002852
Q9BX46,RBM24,105,0.012167
Q9BX46,RBM24,106,0.192557
Q9BX46,RBM24,107,0.004983
Q9BX46,RBM24,108,0.021571
Q9BX46,RBM24,109,0.001815
Q9BX46,RBM24,110,0.001971
Q9BX46,RBM24,111,0.002644
Q9BX46,RBM24,112,0.019368
Q9BX46,RBM24,113,0.058633
Q9BX46,RBM24,114,0.388027
Q9BX46,RBM24,115,0.005883
Q9BX46,RBM24,116,0.000269
Q9BX46,RBM24,117,0.010057
Q9BX46,RBM24,118,0.000070
Q9BX46,RBM24,119,0.129019
Q9BX46,RBM24,120,0.003096
Q9BX46,RBM24,121,0.656139
Q9BX46,RBM24,122,0.000560
Q9BX46,RBM24,123,0.040471
Q9BX46,RBM24,124,0.009043
Q9BX46,RBM24,125,0.010265
Q9BX46,RBM24,126,0.197163
Q9BX46,RBM24,127,0.043677
Q9BX46,RBM24,128,0.058826
Q9BX46,RBM24,129,0.074602
Q9BX46,RBM24,130,0.001388
Q9BX46,RBM24,131,0.004079
Q9BX46,RBM24,132,0.020151
Q9BX46,RBM24,133,0.024252
Q9BX46,RBM24,134,0.007959
Q9BX46,RBM24,135,0.000746
Q9BX46,RBM24,136,0.003750
Q9BX46,RBM24,137,0.001037
Q9BX46,RBM24,138,0.214567
Q9BX46,RBM24,139,0.008046
Q9BX46,RBM24,140,0.001818
Q9BX46,RBM24,141,0.062326
Q9BX46,RBM24,142,0.031694
Q9BX46,RBM24,143,0.001960
Q9BX46,RBM24,144,0.001811
Q9BX46,RBM24,145,0.001473
Q9BX46,RBM24,146,0.000162
Q9BX46,RBM24,147,0.068693
Q9BX46,RBM24,148,0.974923
Q9BX46,RBM24,149,0.890470
Q9BX46,RBM24,150,0.421570
Q9BX46,RBM24,151,0.812447
Q9BX46,RBM24,152,0.002152
Q9BX46,RBM24,153,0.115173
Q9BX46,RBM24,154,0.097203
Q9BX46,RBM24,155,0.011309
Q9BX46,RBM24,156,0.029308
Q9BX46,RBM24,157,0.013736
Q9BX46,RBM24,158,0.043432
Q9BX46,RBM24,159,0.445522
Q9BX46,RBM24,160,0.000829
Q9BX46,RBM24,161,0.000736
Q9BX46,RBM24,162,0.000211
Q9BX46,RBM24,163,0.066330
Q9BX46,RBM24,164,0.003070
Q9BX46,RBM24,165,0.111692
Q9BX46,RBM24,166,0.004595
Q9BX46,RBM24,167,0.999535
Q9BX46,RBM24,168,0.002533
Q9BX46,RBM24,169,0.000006
Q9BX46,RBM24,170,0.007701
Q9BX46,RBM24,171,0.031058
Q9BX46,RBM24,172,0.631458
Q9BX46,RBM24,173,0.000104
Q9BX46,RBM24,174,0.039916
Q9BX46,RBM24,175,0.259538
Q9BX46,RBM24,176,0.142802
Q9BX46,RBM24,177,0.000790
Q9BX46,RBM24,178,0.000437
Q9BX46,RBM24,179,0.558504
Q9BX46,RBM24,180,0.003214
Q9BX46,RBM24,181,0.139295
Q9BX46,RBM24,182,0.049308
Q9BX46,RBM24,183,0.132798
Q9BX46,RBM24,184,0.001238
Q9BX46,RBM24,185,0.027541
Q9BX46,RBM24,186,0.467884
Q9BX46,RBM24,187,0.055805
Q9BX46,RBM24,188,0.008030
Q9BX46,RBM24,189,0.000085
Q9BX46,RBM24,190,0.108526
Q9BX46,RBM24,191,0.064955
Q9BX46,RBM24,192,0.014199
Q9BX46,RBM24,193,0.009957
Q9BX46,RBM24,194,0.004843
Q9BX46,RBM24,195,0.010129
Q9BX46,RBM24,196,0.000497
Q9BX46,RBM24,197,0.000872
Q9BX46,RBM24,198,0.027405
Q9BX46,RBM24,199,0.011484
Q9BX46,RBM24,200,0.020860
Q9BX46,RBM24,201,0.001054
Q9BX46,RBM24,202,0.003213
Q9BX46,RBM24,203,0.001319
Q9BX46,RBM24,204,0.278983
Q9BX46,RBM24,205,0.000970
Q9BX46,RBM24,206,0.000089
Q9BX46,RBM24,207,0.099921
Q9BX46,RBM24,208,0.001505
Q9BX46,RBM24,209,0.004404
Q9BX46,RBM24,210,0.346349
Q9BX46,RBM24,211,0.352534
Q9BX46,RBM24,212,0.040792
Q9BX46,RBM24,213,0.002854
Q9BX46,RBM24,214,0.814537
Q9BX46,RBM24,215,0.866609
Q9BX46,RBM24,216,0.056000
Q9BX46,RBM24,217,0.021740
Q9BX46,RBM24,218,0.850808
Q9BX46,RBM24,219,0.102027
Q9BX46,RBM24,220,0.001276
Q9BX46,RBM24,221,0.754211
Q9BX46,RBM24,222,0.040806
Q9BX46,RBM24,223,0.662698
Q9BX46,RBM24,224,0.000126
Q9BX46,RBM24,225,0.042098
Q9BX46,RBM24,226,0.016167
Q9BX46,RBM24,227,0.697583
Q9BX46,RBM24,228,0.003345
Q9BX46,RBM24,229,0.010039
Q9BX46,RBM24,230,0.972787
Q9BX46,RBM24,231,0.366832
Q9BX46,RBM24,232,0.053047
Q9BX46,RBM24,233,0.000090
Q9BX46,RBM24,234,0.000658
Q9BX46,RBM24,235,0.022846
Q9BX46,RBM24,236,0.014824
Q9BX46,RBM24,237,0.000301
Q9BX46,RBM24,238,0.053930
Q9BX46,RBM24,239,0.001312
Q9BX46,RBM24,240,0.630879
Q9BX46,RBM24,241,0.038624
Q9BX46,RBM24,242,0.002251
Q9BX46,RBM24,243,0.152887
Q9BX46,RBM24,244,0.007360
Q9BX46,RBM24,245,0.002735
Q9BX46,RBM24,246,0.006369
Q9BX46,RBM24,247,0.012314
Q9BX46,RBM24,248,0.003438
Q9BX46,RBM24,249,0.050862
Q9BX46,RBM24,250,0.050715
Q9BX46,RBM24,251,0.083045
Q9BX46,RBM24,252,0.180694
Q9BX46,RBM24,253,0.243975
Q9BX46,RBM24,254,0.007261
Q9BX46,RBM24,255,0.003018
Q9BX46,RBM24,256,0.050245
Q9BX46,RBM24,257,0.151192
Q9BX46,RBM24,258,0.000835
Q9BX46,RBM24,259,0.021938
Q9BX46,RBM24,260,0.000091
Q9BX46,RBM24,261,0.015909
Q9BX46,RBM24,262,0.015046
Q9BX46,RBM24,263,0.831126
Q9BX46,RBM24,264,0.002266
Q9BX46,RBM24,265,0.052893
Q9BX46,RBM24,266,0.075494
Q9BX46,RBM24,267,0.153439
Q9BX46,RBM24,268,0.020018
Q9BX46,RBM24,269,0.019581
Q9BX46,RBM24,270,0.993623
Q9BX46,RBM24,271,0.039806
Q9BX46,RBM24,272,0.010213
Q9BX46,RBM24,273,0.906315
Q9BX46,RBM24,274,0.000592
Q9BX46,RBM24,275,0.008629
Q9BX46,RBM24,276,0.456747
Q9BX46,RBM24,277,0.003853
Q9BX46,RBM24,278,0.003804
Q9BX46,RBM24,279,0.936698
Q9BX46,RBM24,280,0.007437
Q9BX46,RBM24,281,0.999709
Q9BX46,RBM24,282,0.006091
Q9BX46,RBM24,283,0.093820
Q9BX46,RBM24,284,0.176616
Q9BX46,RBM24,285,0.000466
Q9BX46,RBM24,286,0.001747
Q9BX46,RBM24,287,0.000900
Q9BX46,RBM24,288,0.213198
Q9BX46,RBM24,289,0.001224
Q9BX46,RBM24,290,0.033331
Q9BX46,RBM24,291,0.008794
Q9BX46,RBM24,292,0.435477
Q9BX46,RBM24,293,0.020731
Q9BX46,RBM24,294,0.932639
Q9BX46,RBM24,295,0.001245
Q9BX46,RBM24,296,0.002514
Q9BX46,RBM24,297,0.014488
Q9BX46,RBM24,298,0.001288
Q9BX46,RBM24,299,0.000404
Q9BX46,RBM24,300,0.002656
Q9BX46,RBM24,301,0.033883
Q9BX46,RBM24,302,0.283787
Q9BX46,RBM24,303,0.005906
Q9BX46,RBM24,304,0.004773
Q9BX46,RBM24,305,0.067788
Q9BX46,RBM24,306,0.107852
Q9BX46,RBM24,307,0.547576
Q9BX46,RBM24,308,0.055730
Q9BX46,RBM24,309,0.009463
Q9BX46,RBM24,310,0.855328
Q9BX46,RBM24,311,0.004268
Q9BX46,RBM24,312,0.012093
Q9BX46,RBM24,313,0.000720
Q9BX46,RBM24,314,0.020601
Q9BX46,RBM24,315,0.007436
Q9BX46,RBM24,316,0.219128
Q9BX46,RBM24,317,0.005901
Q9BX46,RBM24,318,0.001186
Q9BX46,RBM24,319,0.322622
Q9BX46,RBM24,320,0.003085
Q9BX46,RBM24,321,0.015525
Q9BX46,RBM24,322,0.089471
Q9BX46,RBM24,323,0.002975
Q9BX46,RBM24,324,0.004818
Q9BX46,RBM24,325,0.006109
Q9BX46,RBM24,326,0.124673
Q9BX46,RBM24,327,0.017947
Q9BX46,RBM24,328,0.999137
Q9BX46,RBM24,329,0.022730
Q9BX46,RBM24,330,0.978975
Q9BX46,RBM24,331,0.000557
Q9BX46,RBM24,332,0.495093
Q9BX46,RBM24,333,0.154053
Q9BX46,RBM24,334,0.204218
Q9BX46,RBM24,335,0.000485
Q9BX46,RBM24,336,0.998019
Q9BX46,RBM24,337,0.005604
Q9BX46,RBM24,338,0.071646
Q9BX46,RBM24,339,0.043331
Q9BX46,RBM24,340,0.000132
Q9BX46,RBM24,341,0.000390
Q9BX46,RBM24,342,0.014831
Q9BX46,RBM24,343,0.026745
Q9BX46,RBM24,344,0.000507
Q9BX46,RBM24,345,0.998095
Q9BX46,RBM24,346,0.001832
Q9BX46,RBM24,347,0.277987
Q9BX46,RBM24,348,0.034797
Q9BX46,RBM24,349,0.003250
Q9BX46,RBM24,350,0.103795
Q9BX46,RBM24,351,0.672627
Q9BX46,RBM24,352,0.005738
Q9BX46,RBM24,353,0.640023
Q9BX46,RBM24,354,0.000231
Q9BX46,RBM24,355,0.004939
Q9BX46,RBM24,356,0.002570
Q9BX46,RBM24,357,0.189815
Q9BX46,RBM24,358,0.031241
Q9BX46,RBM24,359,0.022930
Q9BX46,RBM24,360,0.113892
Q9BX46,RBM24,361,0.451840
Q9BX46,RBM24,362,0.918644
Q9BX46,RBM24,363,0.014297
Q9BX46,RBM24,364,0.031912
Q9BX46,RBM24,365,0.000251
Q9BX46,RBM24,366,0.003531
Q9BX46,RBM24,367,0.197770
Q9BX46,RBM24,368,0.017852
Q9BX46,RBM24,369,0.009527
Q9BX46,RBM24,370,0.003886
Q9BX46,RBM24,371,0.074014
Q9BX46,RBM24,372,0.853675
Q9BX46,RBM24,373,0.000729
Q9BX46,RBM24,374,0.006649
Q9BX46,RBM24,375,0.456857
Q9BX46,RBM24,376,0.000177
Q9BX46,RBM24,377,0.339269
Q9BX46,RBM24,378,0.394826
Q9BX46,RBM24,379,0.056646
Q9BX46,RBM24,380,0.011062
Q9BX46,RBM24,381,0.000598
Q9BX46,RBM24,382,0.002849
Q9BX46,RBM24,383,0.015456
Q9BX46,RBM24,384,0.646871
Q9BX46,RBM24,385,0.875349
Q9BX46,RBM24,386,0.997312
Q9BX46,RBM24,387,0.047702
Q9BX46,RBM24,388,0.005948
Q9BX46,RBM24,389,0.002353
Q9BX46,RBM24,390,0.039966
Q9BX46,RBM24,391,0.921650
Q9BX46,RBM24,392,0.013167
Q9BX46,RBM24,393,0.102655
Q9BX46,RBM24,394,0.000422
Q9BX46,RBM24,395,0.003093
