uniprot_id,protein_name,score_index,score
Q9BZC1,CELF4,1,0.000001
Q9BZC1,CELF4,2,0.000025
Q9BZC1,CELF4,3,0.500000
Q9BZC1,CELF4,4,0.003346
Q9BZC1,CELF4,5,0.086142
Q9BZC1,CELF4,6,0.500000
Q9BZC1,CELF4,7,0.000204
Q9BZC1,CELF4,8,0.000044
Q9BZC1,CELF4,9,0.500000
Q9BZC1,CELF4,10,0.136995
Q9BZC1,CELF4,11,0.500000
Q9BZC1,CELF4,12,0.500000
Q9BZC1,CELF4,13,0.500000
Q9BZC1,CELF4,14,0.500000
Q9BZC1,CELF4,15,0.004094
Q9BZC1,CELF4,16,0.500000
Q9BZC1,CELF4,17,0.000118
Q9BZC1,CELF4,18,0.500000
Q9BZC1,CELF4,19,0.500000
Q9BZC1,CELF4,20,0.000007
Q9BZC1,CELF4,21,0.000020
Q9BZC1,CELF4,22,0.000017
Q9BZC1,CELF4,23,0.500000
Q9BZC1,CELF4,24,0.004379
Q9BZC1,CELF4,25,0.006865
Q9BZC1,CELF4,26,0.000002
Q9BZC1,CELF4,27,0.500000
Q9BZC1,CELF4,28,0.000046
Q9BZC1,CELF4,29,0.051176
Q9BZC1,CELF4,30,0.500000
Q9BZC1,CELF4,31,0.500000
Q9BZC1,CELF4,32,0.000005
Q9BZC1,CELF4,33,0.500000
Q9BZC1,CELF4,34,0.500000
Q9BZC1,CELF4,35,0.002231
Q9BZC1,CELF4,36,0.000093
Q9BZC1,CELF4,37,0.002095
Q9BZC1,CELF4,38,0.000338
Q9BZC1,CELF4,39,0.000234
Q9BZC1,CELF4,40,0.500000
Q9BZC1,CELF4,41,0.000556
Q9BZC1,CELF4,42,0.003181
Q9BZC1,CELF4,43,0.001700
Q9BZC1,CELF4,44,0.060985
Q9BZC1,CELF4,45,0.000005
Q9BZC1,CELF4,46,0.001467
Q9BZC1,CELF4,47,0.500000
Q9BZC1,CELF4,48,0.000027
Q9BZC1,CELF4,49,0.000152
Q9BZC1,CELF4,50,0.000007
Q9BZC1,CELF4,51,0.034634
Q9BZC1,CELF4,52,0.000019
Q9BZC1,CELF4,53,0.500000
Q9BZC1,CELF4,54,0.000070
Q9BZC1,CELF4,55,0.000072
Q9BZC1,CELF4,56,0.000259
Q9BZC1,CELF4,57,0.500000
Q9BZC1,CELF4,58,0.500000
Q9BZC1,CELF4,59,0.500000
Q9BZC1,CELF4,60,0.500000
Q9BZC1,CELF4,61,0.002295
Q9BZC1,CELF4,62,0.000144
Q9BZC1,CELF4,63,0.000009
Q9BZC1,CELF4,64,0.000271
Q9BZC1,CELF4,65,0.500000
Q9BZC1,CELF4,66,0.500000
Q9BZC1,CELF4,67,0.003236
Q9BZC1,CELF4,68,0.500000
Q9BZC1,CELF4,69,0.500000
Q9BZC1,CELF4,70,0.000000
Q9BZC1,CELF4,71,0.500000
Q9BZC1,CELF4,72,0.000019
Q9BZC1,CELF4,73,0.000241
Q9BZC1,CELF4,74,0.000094
Q9BZC1,CELF4,75,0.000008
Q9BZC1,CELF4,76,0.017455
Q9BZC1,CELF4,77,0.000004
Q9BZC1,CELF4,78,0.500000
Q9BZC1,CELF4,79,0.500000
Q9BZC1,CELF4,80,0.043546
Q9BZC1,CELF4,81,0.500000
Q9BZC1,CELF4,82,0.000012
Q9BZC1,CELF4,83,0.000005
Q9BZC1,CELF4,84,0.000000
Q9BZC1,CELF4,85,0.500000
Q9BZC1,CELF4,86,0.045192
Q9BZC1,CELF4,87,0.018059
Q9BZC1,CELF4,88,0.000015
Q9BZC1,CELF4,89,0.000665
Q9BZC1,CELF4,90,0.331267
Q9BZC1,CELF4,91,0.000613
Q9BZC1,CELF4,92,0.123646
Q9BZC1,CELF4,93,0.230392
Q9BZC1,CELF4,94,0.500000
Q9BZC1,CELF4,95,0.169616
Q9BZC1,CELF4,96,0.000005
Q9BZC1,CELF4,97,0.000880
Q9BZC1,CELF4,98,0.500000
Q9BZC1,CELF4,99,0.000097
Q9BZC1,CELF4,100,0.500000
Q9BZC1,CELF4,101,0.500000
Q9BZC1,CELF4,102,0.500000
Q9BZC1,CELF4,103,0.000005
Q9BZC1,CELF4,104,0.500000
Q9BZC1,CELF4,105,0.154824
Q9BZC1,CELF4,106,0.067181
Q9BZC1,CELF4,107,0.500000
Q9BZC1,CELF4,108,0.500000
Q9BZC1,CELF4,109,0.224336
Q9BZC1,CELF4,110,0.500000
Q9BZC1,CELF4,111,0.500000
Q9BZC1,CELF4,112,0.000195
Q9BZC1,CELF4,113,0.500000
Q9BZC1,CELF4,114,0.000464
Q9BZC1,CELF4,115,0.001592
Q9BZC1,CELF4,116,0.088318
Q9BZC1,CELF4,117,0.500000
Q9BZC1,CELF4,118,0.000010
Q9BZC1,CELF4,119,0.500000
Q9BZC1,CELF4,120,0.012594
Q9BZC1,CELF4,121,0.000001
Q9BZC1,CELF4,122,0.015802
Q9BZC1,CELF4,123,0.500000
Q9BZC1,CELF4,124,0.001383
Q9BZC1,CELF4,125,0.000009
Q9BZC1,CELF4,126,0.000000
Q9BZC1,CELF4,127,0.000969
Q9BZC1,CELF4,128,0.001279
Q9BZC1,CELF4,129,0.008337
Q9BZC1,CELF4,130,0.500000
Q9BZC1,CELF4,131,0.023655
Q9BZC1,CELF4,132,0.000494
Q9BZC1,CELF4,133,0.020588
Q9BZC1,CELF4,134,0.000166
Q9BZC1,CELF4,135,0.500000
Q9BZC1,CELF4,136,0.000034
Q9BZC1,CELF4,137,0.000053
Q9BZC1,CELF4,138,0.004330
Q9BZC1,CELF4,139,0.500000
Q9BZC1,CELF4,140,0.007716
Q9BZC1,CELF4,141,0.007690
Q9BZC1,CELF4,142,0.000133
Q9BZC1,CELF4,143,0.000321
Q9BZC1,CELF4,144,0.011946
Q9BZC1,CELF4,145,0.500000
Q9BZC1,CELF4,146,0.000066
Q9BZC1,CELF4,147,0.000027
Q9BZC1,CELF4,148,0.000016
Q9BZC1,CELF4,149,0.500000
Q9BZC1,CELF4,150,0.000047
Q9BZC1,CELF4,151,0.500000
Q9BZC1,CELF4,152,0.500000
Q9BZC1,CELF4,153,0.000002
