uniprot_id,protein_name,score_index,score
Q9H361,PABPC3,1,0.006931
Q9H361,PABPC3,2,0.977752
Q9H361,PABPC3,3,0.215956
Q9H361,PABPC3,4,0.708672
Q9H361,PABPC3,5,0.500000
Q9H361,PABPC3,6,0.500000
Q9H361,PABPC3,7,0.167769
Q9H361,PABPC3,8,0.041910
Q9H361,PABPC3,9,0.026642
Q9H361,PABPC3,10,0.118272
Q9H361,PABPC3,11,0.500000
Q9H361,PABPC3,12,0.085374
Q9H361,PABPC3,13,0.500000
Q9H361,PABPC3,14,0.995268
Q9H361,PABPC3,15,0.500000
Q9H361,PABPC3,16,0.062567
Q9H361,PABPC3,17,0.143222
Q9H361,PABPC3,18,0.500000
Q9H361,PABPC3,19,0.053240
Q9H361,PABPC3,20,0.005714
Q9H361,PABPC3,21,0.465726
Q9H361,PABPC3,22,0.358263
Q9H361,PABPC3,23,0.035978
Q9H361,PABPC3,24,0.000655
Q9H361,PABPC3,25,0.020905
Q9H361,PABPC3,26,0.276706
Q9H361,PABPC3,27,0.037628
Q9H361,PABPC3,28,0.002947
Q9H361,PABPC3,29,0.159098
Q9H361,PABPC3,30,0.027787
Q9H361,PABPC3,31,0.828669
Q9H361,PABPC3,32,0.500000
Q9H361,PABPC3,33,0.055492
Q9H361,PABPC3,34,0.003364
Q9H361,PABPC3,35,0.013191
Q9H361,PABPC3,36,0.411292
Q9H361,PABPC3,37,0.500000
Q9H361,PABPC3,38,0.001929
Q9H361,PABPC3,39,0.500000
Q9H361,PABPC3,40,0.434535
Q9H361,PABPC3,41,0.500000
Q9H361,PABPC3,42,0.144541
Q9H361,PABPC3,43,0.020304
Q9H361,PABPC3,44,0.016925
Q9H361,PABPC3,45,0.062196
Q9H361,PABPC3,46,0.311829
Q9H361,PABPC3,47,0.500000
Q9H361,PABPC3,48,0.188463
Q9H361,PABPC3,49,0.003323
Q9H361,PABPC3,50,0.039662
Q9H361,PABPC3,51,0.500000
Q9H361,PABPC3,52,0.500000
Q9H361,PABPC3,53,0.102595
Q9H361,PABPC3,54,0.003568
Q9H361,PABPC3,55,0.300992
Q9H361,PABPC3,56,0.792646
Q9H361,PABPC3,57,0.500000
Q9H361,PABPC3,58,0.024893
Q9H361,PABPC3,59,0.041387
Q9H361,PABPC3,60,0.500000
Q9H361,PABPC3,61,0.108400
Q9H361,PABPC3,62,0.002854
Q9H361,PABPC3,63,0.400678
Q9H361,PABPC3,64,0.114365
Q9H361,PABPC3,65,0.012575
Q9H361,PABPC3,66,0.500000
Q9H361,PABPC3,67,0.147812
Q9H361,PABPC3,68,0.500000
Q9H361,PABPC3,69,0.096357
Q9H361,PABPC3,70,0.495080
Q9H361,PABPC3,71,0.124197
Q9H361,PABPC3,72,0.500000
Q9H361,PABPC3,73,0.500000
Q9H361,PABPC3,74,0.500000
Q9H361,PABPC3,75,0.039165
Q9H361,PABPC3,76,0.014844
Q9H361,PABPC3,77,0.500000
Q9H361,PABPC3,78,0.166680
Q9H361,PABPC3,79,0.021961
Q9H361,PABPC3,80,0.094172
Q9H361,PABPC3,81,0.500000
Q9H361,PABPC3,82,0.136111
Q9H361,PABPC3,83,0.057910
Q9H361,PABPC3,84,0.500000
Q9H361,PABPC3,85,0.103765
Q9H361,PABPC3,86,0.025289
Q9H361,PABPC3,87,0.008259
Q9H361,PABPC3,88,0.083541
Q9H361,PABPC3,89,0.030218
Q9H361,PABPC3,90,0.500000
Q9H361,PABPC3,91,0.139366
Q9H361,PABPC3,92,0.128620
Q9H361,PABPC3,93,0.003275
Q9H361,PABPC3,94,0.038587
Q9H361,PABPC3,95,0.276706
Q9H361,PABPC3,96,0.047021
Q9H361,PABPC3,97,0.500000
Q9H361,PABPC3,98,0.276706
Q9H361,PABPC3,99,0.001400
Q9H361,PABPC3,100,0.249845
Q9H361,PABPC3,101,0.720714
Q9H361,PABPC3,102,0.500000
Q9H361,PABPC3,103,0.004164
Q9H361,PABPC3,104,0.023344
Q9H361,PABPC3,105,0.002487
Q9H361,PABPC3,106,0.987988
Q9H361,PABPC3,107,0.005057
Q9H361,PABPC3,108,0.746739
Q9H361,PABPC3,109,0.500000
Q9H361,PABPC3,110,0.011698
Q9H361,PABPC3,111,0.279013
Q9H361,PABPC3,112,0.553073
Q9H361,PABPC3,113,0.400259
Q9H361,PABPC3,114,0.872438
Q9H361,PABPC3,115,0.003702
Q9H361,PABPC3,116,0.318775
Q9H361,PABPC3,117,0.017662
Q9H361,PABPC3,118,0.002579
Q9H361,PABPC3,119,0.637937
Q9H361,PABPC3,120,0.222266
Q9H361,PABPC3,121,0.500000
Q9H361,PABPC3,122,0.002039
Q9H361,PABPC3,123,0.012813
Q9H361,PABPC3,124,0.500000
Q9H361,PABPC3,125,0.063762
Q9H361,PABPC3,126,0.049596
Q9H361,PABPC3,127,0.500000
Q9H361,PABPC3,128,0.044517
Q9H361,PABPC3,129,0.500000
Q9H361,PABPC3,130,0.042852
Q9H361,PABPC3,131,0.096728
Q9H361,PABPC3,132,0.001656
Q9H361,PABPC3,133,0.124197
Q9H361,PABPC3,134,0.255523
Q9H361,PABPC3,135,0.118258
Q9H361,PABPC3,136,0.500000
Q9H361,PABPC3,137,0.010072
Q9H361,PABPC3,138,0.500000
Q9H361,PABPC3,139,0.024782
Q9H361,PABPC3,140,0.513257
Q9H361,PABPC3,141,0.014978
Q9H361,PABPC3,142,0.500000
Q9H361,PABPC3,143,0.004877
Q9H361,PABPC3,144,0.129947
Q9H361,PABPC3,145,0.536834
Q9H361,PABPC3,146,0.037835
Q9H361,PABPC3,147,0.003134
Q9H361,PABPC3,148,0.925585
Q9H361,PABPC3,149,0.073177
Q9H361,PABPC3,150,0.043874
Q9H361,PABPC3,151,0.009437
Q9H361,PABPC3,152,0.028604
Q9H361,PABPC3,153,0.001426
Q9H361,PABPC3,154,0.500000
Q9H361,PABPC3,155,0.500000
Q9H361,PABPC3,156,0.500000
Q9H361,PABPC3,157,0.500000
Q9H361,PABPC3,158,0.500000
Q9H361,PABPC3,159,0.025317
Q9H361,PABPC3,160,0.960189
Q9H361,PABPC3,161,0.030312
Q9H361,PABPC3,162,0.159906
Q9H361,PABPC3,163,0.376509
Q9H361,PABPC3,164,0.061539
Q9H361,PABPC3,165,0.500000
Q9H361,PABPC3,166,0.471776
Q9H361,PABPC3,167,0.084637
Q9H361,PABPC3,168,0.016716
Q9H361,PABPC3,169,0.099032
Q9H361,PABPC3,170,0.500000
Q9H361,PABPC3,171,0.965887
Q9H361,PABPC3,172,0.434897
Q9H361,PABPC3,173,0.124197
Q9H361,PABPC3,174,0.010519
Q9H361,PABPC3,175,0.947196
Q9H361,PABPC3,176,0.524151
Q9H361,PABPC3,177,0.505653
Q9H361,PABPC3,178,0.500000
Q9H361,PABPC3,179,0.495236
Q9H361,PABPC3,180,0.071703
Q9H361,PABPC3,181,0.006256
Q9H361,PABPC3,182,0.017246
Q9H361,PABPC3,183,0.040745
Q9H361,PABPC3,184,0.036255
Q9H361,PABPC3,185,0.500000
Q9H361,PABPC3,186,0.113427
Q9H361,PABPC3,187,0.434059
Q9H361,PABPC3,188,0.144755
Q9H361,PABPC3,189,0.059228
Q9H361,PABPC3,190,0.050330
Q9H361,PABPC3,191,0.784927
Q9H361,PABPC3,192,0.500000
Q9H361,PABPC3,193,0.500000
Q9H361,PABPC3,194,0.046048
Q9H361,PABPC3,195,0.500000
Q9H361,PABPC3,196,0.500000
Q9H361,PABPC3,197,0.023490
Q9H361,PABPC3,198,0.042588
Q9H361,PABPC3,199,0.055278
Q9H361,PABPC3,200,0.500000
Q9H361,PABPC3,201,0.094910
Q9H361,PABPC3,202,0.124197
Q9H361,PABPC3,203,0.151088
Q9H361,PABPC3,204,0.066446
Q9H361,PABPC3,205,0.001007
Q9H361,PABPC3,206,0.500000
Q9H361,PABPC3,207,0.500000
Q9H361,PABPC3,208,0.108411
Q9H361,PABPC3,209,0.012156
Q9H361,PABPC3,210,0.015619
Q9H361,PABPC3,211,0.004877
Q9H361,PABPC3,212,0.244974
Q9H361,PABPC3,213,0.999994
Q9H361,PABPC3,214,0.500000
Q9H361,PABPC3,215,0.016776
Q9H361,PABPC3,216,0.006247
Q9H361,PABPC3,217,0.045733
Q9H361,PABPC3,218,0.199317
Q9H361,PABPC3,219,0.500000
Q9H361,PABPC3,220,0.007918
Q9H361,PABPC3,221,0.131690
Q9H361,PABPC3,222,0.549482
Q9H361,PABPC3,223,0.500000
Q9H361,PABPC3,224,0.030405
Q9H361,PABPC3,225,0.315326
Q9H361,PABPC3,226,0.553461
Q9H361,PABPC3,227,0.156037
Q9H361,PABPC3,228,0.089426
Q9H361,PABPC3,229,0.131039
Q9H361,PABPC3,230,0.030224
Q9H361,PABPC3,231,0.138934
Q9H361,PABPC3,232,0.001444
Q9H361,PABPC3,233,0.500000
Q9H361,PABPC3,234,0.276706
Q9H361,PABPC3,235,0.186933
Q9H361,PABPC3,236,0.327937
Q9H361,PABPC3,237,0.500000
Q9H361,PABPC3,238,0.594824
Q9H361,PABPC3,239,0.322036
Q9H361,PABPC3,240,0.023828
Q9H361,PABPC3,241,0.081341
Q9H361,PABPC3,242,0.265647
Q9H361,PABPC3,243,0.079949
Q9H361,PABPC3,244,0.756803
Q9H361,PABPC3,245,0.500000
Q9H361,PABPC3,246,0.276706
Q9H361,PABPC3,247,0.500000
Q9H361,PABPC3,248,0.500000
Q9H361,PABPC3,249,0.005081
Q9H361,PABPC3,250,0.399109
Q9H361,PABPC3,251,0.500000
Q9H361,PABPC3,252,0.000995
Q9H361,PABPC3,253,0.435671
Q9H361,PABPC3,254,0.010571
Q9H361,PABPC3,255,0.687708
Q9H361,PABPC3,256,0.007775
Q9H361,PABPC3,257,0.023694
Q9H361,PABPC3,258,0.127358
Q9H361,PABPC3,259,0.500000
Q9H361,PABPC3,260,0.016890
Q9H361,PABPC3,261,0.017547
Q9H361,PABPC3,262,0.076498
Q9H361,PABPC3,263,0.478247
