uniprot_id,protein_name,score_index,score
Q9NR56,MBNL1,1,0.519150
Q9NR56,MBNL1,2,0.009186
Q9NR56,MBNL1,3,0.756109
Q9NR56,MBNL1,4,0.306645
Q9NR56,MBNL1,5,0.693080
Q9NR56,MBNL1,6,0.130287
Q9NR56,MBNL1,7,0.281017
Q9NR56,MBNL1,8,0.622210
Q9NR56,MBNL1,9,0.363829
Q9NR56,MBNL1,10,0.002727
Q9NR56,MBNL1,11,0.003464
Q9NR56,MBNL1,12,0.413896
Q9NR56,MBNL1,13,0.226228
Q9NR56,MBNL1,14,0.031563
Q9NR56,MBNL1,15,0.014752
Q9NR56,MBNL1,16,0.154243
Q9NR56,MBNL1,17,0.007592
Q9NR56,MBNL1,18,0.301943
Q9NR56,MBNL1,19,0.173320
Q9NR56,MBNL1,20,0.498893
Q9NR56,MBNL1,21,0.075273
Q9NR56,MBNL1,22,0.293883
Q9NR56,MBNL1,23,0.067801
Q9NR56,MBNL1,24,0.120574
Q9NR56,MBNL1,25,0.195701
Q9NR56,MBNL1,26,0.206929
Q9NR56,MBNL1,27,0.017476
Q9NR56,MBNL1,28,0.107583
Q9NR56,MBNL1,29,0.133181
Q9NR56,MBNL1,30,0.199373
Q9NR56,MBNL1,31,0.731137
Q9NR56,MBNL1,32,0.159755
Q9NR56,MBNL1,33,0.106249
Q9NR56,MBNL1,34,0.199995
Q9NR56,MBNL1,35,0.140970
Q9NR56,MBNL1,36,0.086197
Q9NR56,MBNL1,37,0.059440
Q9NR56,MBNL1,38,0.223934
Q9NR56,MBNL1,39,0.259314
Q9NR56,MBNL1,40,0.314117
Q9NR56,MBNL1,41,0.213422
Q9NR56,MBNL1,42,0.101160
Q9NR56,MBNL1,43,0.178946
Q9NR56,MBNL1,44,0.497197
Q9NR56,MBNL1,45,0.004146
Q9NR56,MBNL1,46,0.303358
Q9NR56,MBNL1,47,0.044799
Q9NR56,MBNL1,48,0.176917
Q9NR56,MBNL1,49,0.154663
Q9NR56,MBNL1,50,0.330136
Q9NR56,MBNL1,51,0.218966
Q9NR56,MBNL1,52,0.131142
Q9NR56,MBNL1,53,0.027587
Q9NR56,MBNL1,54,0.004110
Q9NR56,MBNL1,55,0.312421
Q9NR56,MBNL1,56,0.528403
Q9NR56,MBNL1,57,0.076819
Q9NR56,MBNL1,58,0.115214
Q9NR56,MBNL1,59,0.128185
Q9NR56,MBNL1,60,0.303308
Q9NR56,MBNL1,61,0.351925
Q9NR56,MBNL1,62,0.030360
Q9NR56,MBNL1,63,0.262379
Q9NR56,MBNL1,64,0.035051
Q9NR56,MBNL1,65,0.324782
Q9NR56,MBNL1,66,0.062855
Q9NR56,MBNL1,67,0.487387
Q9NR56,MBNL1,68,0.479544
Q9NR56,MBNL1,69,0.279096
Q9NR56,MBNL1,70,0.049279
Q9NR56,MBNL1,71,0.167679
Q9NR56,MBNL1,72,0.149298
Q9NR56,MBNL1,73,0.015134
Q9NR56,MBNL1,74,0.404323
Q9NR56,MBNL1,75,0.108516
Q9NR56,MBNL1,76,0.052752
Q9NR56,MBNL1,77,0.139547
Q9NR56,MBNL1,78,0.128160
Q9NR56,MBNL1,79,0.049609
Q9NR56,MBNL1,80,0.215625
Q9NR56,MBNL1,81,0.015021
Q9NR56,MBNL1,82,0.001959
Q9NR56,MBNL1,83,0.027245
Q9NR56,MBNL1,84,0.003939
Q9NR56,MBNL1,85,0.182855
Q9NR56,MBNL1,86,0.061949
Q9NR56,MBNL1,87,0.716340
Q9NR56,MBNL1,88,0.300952
Q9NR56,MBNL1,89,0.076655
Q9NR56,MBNL1,90,0.655242
Q9NR56,MBNL1,91,0.202135
Q9NR56,MBNL1,92,0.485404
Q9NR56,MBNL1,93,0.018785
Q9NR56,MBNL1,94,0.286364
Q9NR56,MBNL1,95,0.037812
Q9NR56,MBNL1,96,0.706800
Q9NR56,MBNL1,97,0.001350
Q9NR56,MBNL1,98,0.229650
Q9NR56,MBNL1,99,0.114072
Q9NR56,MBNL1,100,0.000013
Q9NR56,MBNL1,101,0.387759
Q9NR56,MBNL1,102,0.055433
Q9NR56,MBNL1,103,0.292182
Q9NR56,MBNL1,104,0.020623
Q9NR56,MBNL1,105,0.010492
Q9NR56,MBNL1,106,0.005321
Q9NR56,MBNL1,107,0.198812
Q9NR56,MBNL1,108,0.516372
Q9NR56,MBNL1,109,0.287973
Q9NR56,MBNL1,110,0.008035
Q9NR56,MBNL1,111,0.672961
Q9NR56,MBNL1,112,0.072077
Q9NR56,MBNL1,113,0.119517
Q9NR56,MBNL1,114,0.018261
Q9NR56,MBNL1,115,0.005238
Q9NR56,MBNL1,116,0.362347
Q9NR56,MBNL1,117,0.214503
Q9NR56,MBNL1,118,0.128154
Q9NR56,MBNL1,119,0.003746
Q9NR56,MBNL1,120,0.029557
Q9NR56,MBNL1,121,0.298168
Q9NR56,MBNL1,122,0.661193
Q9NR56,MBNL1,123,0.001943
Q9NR56,MBNL1,124,0.007386
Q9NR56,MBNL1,125,0.015103
Q9NR56,MBNL1,126,0.701638
Q9NR56,MBNL1,127,0.106151
Q9NR56,MBNL1,128,0.358099
Q9NR56,MBNL1,129,0.645554
Q9NR56,MBNL1,130,0.112969
Q9NR56,MBNL1,131,0.437154
Q9NR56,MBNL1,132,0.051492
Q9NR56,MBNL1,133,0.209989
Q9NR56,MBNL1,134,0.534746
Q9NR56,MBNL1,135,0.267310
Q9NR56,MBNL1,136,0.235948
Q9NR56,MBNL1,137,0.036683
Q9NR56,MBNL1,138,0.195145
