uniprot_id,protein_name,score_index,score
Q9NW13,RBM28,1,0.000934
Q9NW13,RBM28,2,0.000500
Q9NW13,RBM28,3,0.048706
Q9NW13,RBM28,4,0.001240
Q9NW13,RBM28,5,0.000109
Q9NW13,RBM28,6,0.000074
Q9NW13,RBM28,7,0.000047
Q9NW13,RBM28,8,0.017676
Q9NW13,RBM28,9,0.288977
Q9NW13,RBM28,10,0.660059
Q9NW13,RBM28,11,0.005202
Q9NW13,RBM28,12,0.000036
Q9NW13,RBM28,13,0.487886
Q9NW13,RBM28,14,0.000133
Q9NW13,RBM28,15,0.000022
Q9NW13,RBM28,16,0.002902
Q9NW13,RBM28,17,0.000681
Q9NW13,RBM28,18,0.017312
Q9NW13,RBM28,19,0.367459
Q9NW13,RBM28,20,0.500000
Q9NW13,RBM28,21,0.000705
Q9NW13,RBM28,22,0.003650
Q9NW13,RBM28,23,0.004211
Q9NW13,RBM28,24,0.555639
Q9NW13,RBM28,25,0.500000
Q9NW13,RBM28,26,0.000000
Q9NW13,RBM28,27,0.000119
Q9NW13,RBM28,28,0.031662
Q9NW13,RBM28,29,0.002544
Q9NW13,RBM28,30,0.000100
Q9NW13,RBM28,31,0.013713
Q9NW13,RBM28,32,0.832769
Q9NW13,RBM28,33,0.002053
Q9NW13,RBM28,34,0.114534
Q9NW13,RBM28,35,0.021228
Q9NW13,RBM28,36,0.083779
Q9NW13,RBM28,37,0.359084
Q9NW13,RBM28,38,0.000859
Q9NW13,RBM28,39,0.009861
Q9NW13,RBM28,40,0.002301
Q9NW13,RBM28,41,0.024753
Q9NW13,RBM28,42,0.022642
Q9NW13,RBM28,43,0.500000
Q9NW13,RBM28,44,0.247000
Q9NW13,RBM28,45,0.051990
Q9NW13,RBM28,46,0.000052
Q9NW13,RBM28,47,0.014305
Q9NW13,RBM28,48,0.000169
Q9NW13,RBM28,49,0.067569
Q9NW13,RBM28,50,0.001321
Q9NW13,RBM28,51,0.002059
Q9NW13,RBM28,52,0.036110
Q9NW13,RBM28,53,0.002038
Q9NW13,RBM28,54,0.000032
Q9NW13,RBM28,55,0.000009
Q9NW13,RBM28,56,0.001367
Q9NW13,RBM28,57,0.005747
Q9NW13,RBM28,58,0.578747
Q9NW13,RBM28,59,0.918881
Q9NW13,RBM28,60,0.002605
Q9NW13,RBM28,61,0.000574
Q9NW13,RBM28,62,0.093044
Q9NW13,RBM28,63,0.019019
Q9NW13,RBM28,64,0.002342
Q9NW13,RBM28,65,0.000775
Q9NW13,RBM28,66,0.000665
Q9NW13,RBM28,67,0.006568
Q9NW13,RBM28,68,0.500000
Q9NW13,RBM28,69,0.008027
Q9NW13,RBM28,70,0.130010
Q9NW13,RBM28,71,0.004762
Q9NW13,RBM28,72,0.000234
Q9NW13,RBM28,73,0.438318
Q9NW13,RBM28,74,0.500000
Q9NW13,RBM28,75,0.040018
Q9NW13,RBM28,76,0.134879
Q9NW13,RBM28,77,0.001001
Q9NW13,RBM28,78,0.419605
Q9NW13,RBM28,79,0.000948
Q9NW13,RBM28,80,0.316256
Q9NW13,RBM28,81,0.253818
Q9NW13,RBM28,82,0.005825
Q9NW13,RBM28,83,0.000000
Q9NW13,RBM28,84,0.061693
Q9NW13,RBM28,85,0.000411
Q9NW13,RBM28,86,0.034072
Q9NW13,RBM28,87,0.361234
Q9NW13,RBM28,88,0.000006
Q9NW13,RBM28,89,0.000042
Q9NW13,RBM28,90,0.005603
Q9NW13,RBM28,91,0.000000
Q9NW13,RBM28,92,0.014031
Q9NW13,RBM28,93,0.280852
Q9NW13,RBM28,94,0.000323
Q9NW13,RBM28,95,0.047720
Q9NW13,RBM28,96,0.000228
Q9NW13,RBM28,97,0.002040
Q9NW13,RBM28,98,0.007241
Q9NW13,RBM28,99,0.000202
Q9NW13,RBM28,100,0.000045
Q9NW13,RBM28,101,0.001600
Q9NW13,RBM28,102,0.030408
Q9NW13,RBM28,103,0.000001
Q9NW13,RBM28,104,0.185661
Q9NW13,RBM28,105,0.013642
Q9NW13,RBM28,106,0.000004
Q9NW13,RBM28,107,0.000654
Q9NW13,RBM28,108,0.067136
Q9NW13,RBM28,109,0.178195
Q9NW13,RBM28,110,0.014602
Q9NW13,RBM28,111,0.025740
Q9NW13,RBM28,112,0.855523
Q9NW13,RBM28,113,0.000751
Q9NW13,RBM28,114,0.342668
Q9NW13,RBM28,115,0.198088
Q9NW13,RBM28,116,0.000103
Q9NW13,RBM28,117,0.000000
Q9NW13,RBM28,118,0.170405
Q9NW13,RBM28,119,0.004562
Q9NW13,RBM28,120,0.000021
Q9NW13,RBM28,121,0.016620
Q9NW13,RBM28,122,0.480874
Q9NW13,RBM28,123,0.000553
Q9NW13,RBM28,124,0.465878
Q9NW13,RBM28,125,0.027661
Q9NW13,RBM28,126,0.000120
Q9NW13,RBM28,127,0.006393
Q9NW13,RBM28,128,0.000211
Q9NW13,RBM28,129,0.474729
Q9NW13,RBM28,130,0.004521
Q9NW13,RBM28,131,0.000915
Q9NW13,RBM28,132,0.003813
Q9NW13,RBM28,133,0.818393
Q9NW13,RBM28,134,0.002272
Q9NW13,RBM28,135,0.026601
Q9NW13,RBM28,136,0.002468
Q9NW13,RBM28,137,0.017378
Q9NW13,RBM28,138,0.000002
Q9NW13,RBM28,139,0.359233
Q9NW13,RBM28,140,0.000000
Q9NW13,RBM28,141,0.129213
Q9NW13,RBM28,142,0.004947
Q9NW13,RBM28,143,0.043954
Q9NW13,RBM28,144,0.000002
Q9NW13,RBM28,145,0.000015
Q9NW13,RBM28,146,0.221588
Q9NW13,RBM28,147,0.013098
Q9NW13,RBM28,148,0.008177
Q9NW13,RBM28,149,0.002325
Q9NW13,RBM28,150,0.296112
Q9NW13,RBM28,151,0.000082
Q9NW13,RBM28,152,0.001288
Q9NW13,RBM28,153,0.000071
Q9NW13,RBM28,154,0.029612
Q9NW13,RBM28,155,0.000000
Q9NW13,RBM28,156,0.659298
Q9NW13,RBM28,157,0.553337
Q9NW13,RBM28,158,0.500000
Q9NW13,RBM28,159,0.073836
Q9NW13,RBM28,160,0.011479
Q9NW13,RBM28,161,0.003399
Q9NW13,RBM28,162,0.030204
Q9NW13,RBM28,163,0.001292
Q9NW13,RBM28,164,0.055604
Q9NW13,RBM28,165,0.500000
Q9NW13,RBM28,166,0.035501
Q9NW13,RBM28,167,0.000670
Q9NW13,RBM28,168,0.003267
Q9NW13,RBM28,169,0.065705
Q9NW13,RBM28,170,0.500000
Q9NW13,RBM28,171,0.042536
Q9NW13,RBM28,172,0.035023
Q9NW13,RBM28,173,0.000287
Q9NW13,RBM28,174,0.086065
Q9NW13,RBM28,175,0.438857
Q9NW13,RBM28,176,0.083920
Q9NW13,RBM28,177,0.000007
Q9NW13,RBM28,178,0.128963
Q9NW13,RBM28,179,0.096448
Q9NW13,RBM28,180,0.005580
Q9NW13,RBM28,181,0.593738
Q9NW13,RBM28,182,0.007282
Q9NW13,RBM28,183,0.500000
Q9NW13,RBM28,184,0.005389
Q9NW13,RBM28,185,0.004753
Q9NW13,RBM28,186,0.005650
Q9NW13,RBM28,187,0.294455
Q9NW13,RBM28,188,0.016014
Q9NW13,RBM28,189,0.000012
Q9NW13,RBM28,190,0.834950
Q9NW13,RBM28,191,0.493252
Q9NW13,RBM28,192,0.000093
Q9NW13,RBM28,193,0.000012
Q9NW13,RBM28,194,0.001394
Q9NW13,RBM28,195,0.573512
Q9NW13,RBM28,196,0.016391
Q9NW13,RBM28,197,0.035388
Q9NW13,RBM28,198,0.407333
Q9NW13,RBM28,199,0.005265
Q9NW13,RBM28,200,0.046278
Q9NW13,RBM28,201,0.008181
Q9NW13,RBM28,202,0.005809
Q9NW13,RBM28,203,0.047112
Q9NW13,RBM28,204,0.049244
Q9NW13,RBM28,205,0.028109
Q9NW13,RBM28,206,0.000107
Q9NW13,RBM28,207,0.375839
Q9NW13,RBM28,208,0.001859
Q9NW13,RBM28,209,0.001091
Q9NW13,RBM28,210,0.000021
Q9NW13,RBM28,211,0.011953
Q9NW13,RBM28,212,0.001782
Q9NW13,RBM28,213,0.041693
Q9NW13,RBM28,214,0.165881
Q9NW13,RBM28,215,0.022155
Q9NW13,RBM28,216,0.000008
Q9NW13,RBM28,217,0.765254
Q9NW13,RBM28,218,0.393989
Q9NW13,RBM28,219,0.000077
Q9NW13,RBM28,220,0.000002
Q9NW13,RBM28,221,0.000794
Q9NW13,RBM28,222,0.475830
Q9NW13,RBM28,223,0.016692
Q9NW13,RBM28,224,0.001814
Q9NW13,RBM28,225,0.767172
Q9NW13,RBM28,226,0.000580
Q9NW13,RBM28,227,0.004040
Q9NW13,RBM28,228,0.465878
Q9NW13,RBM28,229,0.007132
Q9NW13,RBM28,230,0.000004
Q9NW13,RBM28,231,0.394380
Q9NW13,RBM28,232,0.000193
Q9NW13,RBM28,233,0.002948
Q9NW13,RBM28,234,0.045813
Q9NW13,RBM28,235,0.000021
Q9NW13,RBM28,236,0.001465
Q9NW13,RBM28,237,0.012902
Q9NW13,RBM28,238,0.000972
Q9NW13,RBM28,239,0.341102
Q9NW13,RBM28,240,0.538268
Q9NW13,RBM28,241,0.014057
Q9NW13,RBM28,242,0.039441
Q9NW13,RBM28,243,0.000046
Q9NW13,RBM28,244,0.004304
Q9NW13,RBM28,245,0.294455
Q9NW13,RBM28,246,0.008204
Q9NW13,RBM28,247,0.077450
Q9NW13,RBM28,248,0.215176
Q9NW13,RBM28,249,0.135171
Q9NW13,RBM28,250,0.007774
Q9NW13,RBM28,251,0.054471
Q9NW13,RBM28,252,0.094794
Q9NW13,RBM28,253,0.097668
Q9NW13,RBM28,254,0.251462
Q9NW13,RBM28,255,0.320875
Q9NW13,RBM28,256,0.000001
Q9NW13,RBM28,257,0.009314
Q9NW13,RBM28,258,0.044093
Q9NW13,RBM28,259,0.000000
Q9NW13,RBM28,260,0.021170
Q9NW13,RBM28,261,0.135041
Q9NW13,RBM28,262,0.672723
Q9NW13,RBM28,263,0.122759
Q9NW13,RBM28,264,0.003278
Q9NW13,RBM28,265,0.398260
Q9NW13,RBM28,266,0.001706
Q9NW13,RBM28,267,0.001986
Q9NW13,RBM28,268,0.002969
Q9NW13,RBM28,269,0.000244
Q9NW13,RBM28,270,0.000719
Q9NW13,RBM28,271,0.449284
Q9NW13,RBM28,272,0.041951
Q9NW13,RBM28,273,0.013182
Q9NW13,RBM28,274,0.009974
Q9NW13,RBM28,275,0.294455
Q9NW13,RBM28,276,0.002846
Q9NW13,RBM28,277,0.049287
Q9NW13,RBM28,278,0.395194
Q9NW13,RBM28,279,0.366427
Q9NW13,RBM28,280,0.003519
Q9NW13,RBM28,281,0.355001
Q9NW13,RBM28,282,0.169759
Q9NW13,RBM28,283,0.000561
Q9NW13,RBM28,284,0.000000
Q9NW13,RBM28,285,0.000000
Q9NW13,RBM28,286,0.707888
Q9NW13,RBM28,287,0.102118
Q9NW13,RBM28,288,0.011564
Q9NW13,RBM28,289,0.070904
Q9NW13,RBM28,290,0.282659
Q9NW13,RBM28,291,0.003674
Q9NW13,RBM28,292,0.231863
Q9NW13,RBM28,293,0.000628
Q9NW13,RBM28,294,0.024868
Q9NW13,RBM28,295,0.007391
Q9NW13,RBM28,296,0.000043
Q9NW13,RBM28,297,0.000326
Q9NW13,RBM28,298,0.080933
Q9NW13,RBM28,299,0.018032
Q9NW13,RBM28,300,0.000326
Q9NW13,RBM28,301,0.019968
Q9NW13,RBM28,302,0.000075
Q9NW13,RBM28,303,0.000029
Q9NW13,RBM28,304,0.000241
Q9NW13,RBM28,305,0.078918
Q9NW13,RBM28,306,0.459770
Q9NW13,RBM28,307,0.549127
Q9NW13,RBM28,308,0.460907
Q9NW13,RBM28,309,0.046431
Q9NW13,RBM28,310,0.029936
Q9NW13,RBM28,311,0.055697
Q9NW13,RBM28,312,0.051658
Q9NW13,RBM28,313,0.000806
Q9NW13,RBM28,314,0.010643
Q9NW13,RBM28,315,0.029929
Q9NW13,RBM28,316,0.000046
Q9NW13,RBM28,317,0.010385
Q9NW13,RBM28,318,0.008466
Q9NW13,RBM28,319,0.294455
Q9NW13,RBM28,320,0.000001
Q9NW13,RBM28,321,0.013258
Q9NW13,RBM28,322,0.500000
Q9NW13,RBM28,323,0.000134
Q9NW13,RBM28,324,0.128404
Q9NW13,RBM28,325,0.000947
Q9NW13,RBM28,326,0.000135
Q9NW13,RBM28,327,0.012375
Q9NW13,RBM28,328,0.500000
Q9NW13,RBM28,329,0.130943
Q9NW13,RBM28,330,0.005351
Q9NW13,RBM28,331,0.001381
Q9NW13,RBM28,332,0.026104
Q9NW13,RBM28,333,0.000303
Q9NW13,RBM28,334,0.156767
Q9NW13,RBM28,335,0.000974
Q9NW13,RBM28,336,0.009746
Q9NW13,RBM28,337,0.015422
Q9NW13,RBM28,338,0.000946
Q9NW13,RBM28,339,0.000293
Q9NW13,RBM28,340,0.011614
Q9NW13,RBM28,341,0.010634
Q9NW13,RBM28,342,0.006971
Q9NW13,RBM28,343,0.000080
Q9NW13,RBM28,344,0.000174
