uniprot_id,protein_name,score_index,score
Q9UKM9,RALY,1,0.004961
Q9UKM9,RALY,2,0.021526
Q9UKM9,RALY,3,0.035334
Q9UKM9,RALY,4,0.010849
Q9UKM9,RALY,5,0.161665
Q9UKM9,RALY,6,0.012009
Q9UKM9,RALY,7,0.016451
Q9UKM9,RALY,8,0.088190
Q9UKM9,RALY,9,0.011293
Q9UKM9,RALY,10,0.092413
Q9UKM9,RALY,11,0.009549
Q9UKM9,RALY,12,0.080427
Q9UKM9,RALY,13,0.010245
Q9UKM9,RALY,14,0.015660
Q9UKM9,RALY,15,0.112298
Q9UKM9,RALY,16,0.063601
Q9UKM9,RALY,17,0.026004
Q9UKM9,RALY,18,0.263997
Q9UKM9,RALY,19,0.132758
Q9UKM9,RALY,20,0.010600
Q9UKM9,RALY,21,0.023380
Q9UKM9,RALY,22,0.138021
Q9UKM9,RALY,23,0.147993
Q9UKM9,RALY,24,0.027082
Q9UKM9,RALY,25,0.009929
Q9UKM9,RALY,26,0.005244
Q9UKM9,RALY,27,0.005366
Q9UKM9,RALY,28,0.067948
Q9UKM9,RALY,29,0.380979
Q9UKM9,RALY,30,0.009802
Q9UKM9,RALY,31,0.011235
Q9UKM9,RALY,32,0.040324
Q9UKM9,RALY,33,0.001900
Q9UKM9,RALY,34,0.024964
Q9UKM9,RALY,35,0.028392
Q9UKM9,RALY,36,0.006139
Q9UKM9,RALY,37,0.051834
Q9UKM9,RALY,38,0.056386
Q9UKM9,RALY,39,0.021632
Q9UKM9,RALY,40,0.028459
Q9UKM9,RALY,41,0.020244
Q9UKM9,RALY,42,0.154343
Q9UKM9,RALY,43,0.002676
Q9UKM9,RALY,44,0.009164
Q9UKM9,RALY,45,0.023513
Q9UKM9,RALY,46,0.006018
Q9UKM9,RALY,47,0.050461
Q9UKM9,RALY,48,0.493975
Q9UKM9,RALY,49,0.589591
Q9UKM9,RALY,50,0.039300
Q9UKM9,RALY,51,0.050437
Q9UKM9,RALY,52,0.096348
Q9UKM9,RALY,53,0.022779
Q9UKM9,RALY,54,0.005460
Q9UKM9,RALY,55,0.121701
Q9UKM9,RALY,56,0.107713
Q9UKM9,RALY,57,0.034397
Q9UKM9,RALY,58,0.014192
Q9UKM9,RALY,59,0.008355
Q9UKM9,RALY,60,0.034707
Q9UKM9,RALY,61,0.005428
Q9UKM9,RALY,62,0.013343
Q9UKM9,RALY,63,0.024897
Q9UKM9,RALY,64,0.021599
Q9UKM9,RALY,65,0.001819
Q9UKM9,RALY,66,0.034109
Q9UKM9,RALY,67,0.500000
Q9UKM9,RALY,68,0.015850
Q9UKM9,RALY,69,0.013508
Q9UKM9,RALY,70,0.154414
Q9UKM9,RALY,71,0.005577
Q9UKM9,RALY,72,0.007936
Q9UKM9,RALY,73,0.045031
Q9UKM9,RALY,74,0.063445
Q9UKM9,RALY,75,0.053173
Q9UKM9,RALY,76,0.006944
Q9UKM9,RALY,77,0.008693
Q9UKM9,RALY,78,0.018470
Q9UKM9,RALY,79,0.180316
Q9UKM9,RALY,80,0.074487
Q9UKM9,RALY,81,0.266229
Q9UKM9,RALY,82,0.062164
Q9UKM9,RALY,83,0.078748
Q9UKM9,RALY,84,0.012474
Q9UKM9,RALY,85,0.046795
Q9UKM9,RALY,86,0.009867
Q9UKM9,RALY,87,0.034712
Q9UKM9,RALY,88,0.040797
Q9UKM9,RALY,89,0.016385
Q9UKM9,RALY,90,0.099950
Q9UKM9,RALY,91,0.047395
Q9UKM9,RALY,92,0.017358
Q9UKM9,RALY,93,0.019447
Q9UKM9,RALY,94,0.026128
Q9UKM9,RALY,95,0.000566
Q9UKM9,RALY,96,0.023713
Q9UKM9,RALY,97,0.098808
