uniprot_id,protein_name,score_index,score
Q9UN86,G3BP2,1,0.086463
Q9UN86,G3BP2,2,0.044151
Q9UN86,G3BP2,3,0.120361
Q9UN86,G3BP2,4,0.026194
Q9UN86,G3BP2,5,0.018845
Q9UN86,G3BP2,6,0.039816
Q9UN86,G3BP2,7,0.021295
Q9UN86,G3BP2,8,0.307472
Q9UN86,G3BP2,9,0.062898
Q9UN86,G3BP2,10,0.040467
Q9UN86,G3BP2,11,0.200203
Q9UN86,G3BP2,12,0.016476
Q9UN86,G3BP2,13,0.207277
Q9UN86,G3BP2,14,0.011796
Q9UN86,G3BP2,15,0.048805
Q9UN86,G3BP2,16,0.025844
Q9UN86,G3BP2,17,0.118097
Q9UN86,G3BP2,18,0.022078
Q9UN86,G3BP2,19,0.009669
Q9UN86,G3BP2,20,0.016690
Q9UN86,G3BP2,21,0.011304
Q9UN86,G3BP2,22,0.028127
Q9UN86,G3BP2,23,0.011959
Q9UN86,G3BP2,24,0.107850
Q9UN86,G3BP2,25,0.002114
Q9UN86,G3BP2,26,0.083101
Q9UN86,G3BP2,27,0.592863
Q9UN86,G3BP2,28,0.061040
Q9UN86,G3BP2,29,0.250666
Q9UN86,G3BP2,30,0.002856
Q9UN86,G3BP2,31,0.089203
Q9UN86,G3BP2,32,0.025503
Q9UN86,G3BP2,33,0.028642
Q9UN86,G3BP2,34,0.024793
Q9UN86,G3BP2,35,0.010373
Q9UN86,G3BP2,36,0.133896
Q9UN86,G3BP2,37,0.022073
Q9UN86,G3BP2,38,0.101119
Q9UN86,G3BP2,39,0.029321
Q9UN86,G3BP2,40,0.044517
Q9UN86,G3BP2,41,0.060414
Q9UN86,G3BP2,42,0.004046
Q9UN86,G3BP2,43,0.263297
Q9UN86,G3BP2,44,0.125756
Q9UN86,G3BP2,45,0.001100
Q9UN86,G3BP2,46,0.010500
Q9UN86,G3BP2,47,0.069924
Q9UN86,G3BP2,48,0.009551
Q9UN86,G3BP2,49,0.052528
Q9UN86,G3BP2,50,0.042405
Q9UN86,G3BP2,51,0.085130
Q9UN86,G3BP2,52,0.128930
Q9UN86,G3BP2,53,0.026659
Q9UN86,G3BP2,54,0.249311
Q9UN86,G3BP2,55,0.134339
Q9UN86,G3BP2,56,0.101964
Q9UN86,G3BP2,57,0.045724
Q9UN86,G3BP2,58,0.023594
Q9UN86,G3BP2,59,0.367997
Q9UN86,G3BP2,60,0.027516
Q9UN86,G3BP2,61,0.071107
Q9UN86,G3BP2,62,0.030443
Q9UN86,G3BP2,63,0.026628
Q9UN86,G3BP2,64,0.784666
Q9UN86,G3BP2,65,0.000677
Q9UN86,G3BP2,66,0.009228
Q9UN86,G3BP2,67,0.001843
Q9UN86,G3BP2,68,0.090050
Q9UN86,G3BP2,69,0.130680
Q9UN86,G3BP2,70,0.036222
Q9UN86,G3BP2,71,0.014049
Q9UN86,G3BP2,72,0.032533
Q9UN86,G3BP2,73,0.047440
Q9UN86,G3BP2,74,0.136195
Q9UN86,G3BP2,75,0.041126
Q9UN86,G3BP2,76,0.083045
Q9UN86,G3BP2,77,0.027405
Q9UN86,G3BP2,78,0.100752
Q9UN86,G3BP2,79,0.017905
Q9UN86,G3BP2,80,0.099010
Q9UN86,G3BP2,81,0.027083
Q9UN86,G3BP2,82,0.226114
Q9UN86,G3BP2,83,0.018154
Q9UN86,G3BP2,84,0.007106
Q9UN86,G3BP2,85,0.072569
Q9UN86,G3BP2,86,0.012492
Q9UN86,G3BP2,87,0.031282
Q9UN86,G3BP2,88,0.009301
Q9UN86,G3BP2,89,0.016374
Q9UN86,G3BP2,90,0.054656
Q9UN86,G3BP2,91,0.369167
Q9UN86,G3BP2,92,0.054412
Q9UN86,G3BP2,93,0.203776
Q9UN86,G3BP2,94,0.030350
Q9UN86,G3BP2,95,0.115832
Q9UN86,G3BP2,96,0.050745
Q9UN86,G3BP2,97,0.008936
Q9UN86,G3BP2,98,0.018242
Q9UN86,G3BP2,99,0.172127
Q9UN86,G3BP2,100,0.072391
Q9UN86,G3BP2,101,0.071490
Q9UN86,G3BP2,102,0.018126
Q9UN86,G3BP2,103,0.011518
Q9UN86,G3BP2,104,0.253844
Q9UN86,G3BP2,105,0.608329
Q9UN86,G3BP2,106,0.030625
Q9UN86,G3BP2,107,0.001487
Q9UN86,G3BP2,108,0.210771
Q9UN86,G3BP2,109,0.001600
Q9UN86,G3BP2,110,0.029435
Q9UN86,G3BP2,111,0.005562
Q9UN86,G3BP2,112,0.068822
Q9UN86,G3BP2,113,0.021767
Q9UN86,G3BP2,114,0.031548
Q9UN86,G3BP2,115,0.115525
Q9UN86,G3BP2,116,0.016982
Q9UN86,G3BP2,117,0.103953
Q9UN86,G3BP2,118,0.039330
Q9UN86,G3BP2,119,0.063610
Q9UN86,G3BP2,120,0.047495
Q9UN86,G3BP2,121,0.065610
Q9UN86,G3BP2,122,0.185819
Q9UN86,G3BP2,123,0.006798
Q9UN86,G3BP2,124,0.134697
Q9UN86,G3BP2,125,0.032153
Q9UN86,G3BP2,126,0.036107
Q9UN86,G3BP2,127,0.012480
Q9UN86,G3BP2,128,0.004242
Q9UN86,G3BP2,129,0.208965
Q9UN86,G3BP2,130,0.004843
Q9UN86,G3BP2,131,0.127902
Q9UN86,G3BP2,132,0.025232
Q9UN86,G3BP2,133,0.109345
Q9UN86,G3BP2,134,0.014623
Q9UN86,G3BP2,135,0.002982
Q9UN86,G3BP2,136,0.037890
Q9UN86,G3BP2,137,0.014242
Q9UN86,G3BP2,138,0.179395
Q9UN86,G3BP2,139,0.017673
Q9UN86,G3BP2,140,0.021473
Q9UN86,G3BP2,141,0.150959
Q9UN86,G3BP2,142,0.026255
Q9UN86,G3BP2,143,0.019063
Q9UN86,G3BP2,144,0.027130
Q9UN86,G3BP2,145,0.053719
Q9UN86,G3BP2,146,0.081609
Q9UN86,G3BP2,147,0.004862
Q9UN86,G3BP2,148,0.017185
Q9UN86,G3BP2,149,0.011416
Q9UN86,G3BP2,150,0.111992
Q9UN86,G3BP2,151,0.062663
Q9UN86,G3BP2,152,0.032187
Q9UN86,G3BP2,153,0.003947
Q9UN86,G3BP2,154,0.012395
Q9UN86,G3BP2,155,0.210635
Q9UN86,G3BP2,156,0.024585
Q9UN86,G3BP2,157,0.074494
Q9UN86,G3BP2,158,0.721380
Q9UN86,G3BP2,159,0.025361
Q9UN86,G3BP2,160,0.018315
Q9UN86,G3BP2,161,0.010922
Q9UN86,G3BP2,162,0.056079
Q9UN86,G3BP2,163,0.001503
Q9UN86,G3BP2,164,0.030410
Q9UN86,G3BP2,165,0.078506
Q9UN86,G3BP2,166,0.008279
Q9UN86,G3BP2,167,0.010230
Q9UN86,G3BP2,168,0.058964
Q9UN86,G3BP2,169,0.792157
Q9UN86,G3BP2,170,0.019481
Q9UN86,G3BP2,171,0.065516
Q9UN86,G3BP2,172,0.027457
Q9UN86,G3BP2,173,0.052037
Q9UN86,G3BP2,174,0.006704
Q9UN86,G3BP2,175,0.012706
Q9UN86,G3BP2,176,0.007329
Q9UN86,G3BP2,177,0.029762
Q9UN86,G3BP2,178,0.003646
Q9UN86,G3BP2,179,0.039152
Q9UN86,G3BP2,180,0.010995
Q9UN86,G3BP2,181,0.015695
Q9UN86,G3BP2,182,0.017176
Q9UN86,G3BP2,183,0.059774
Q9UN86,G3BP2,184,0.085765
Q9UN86,G3BP2,185,0.036082
Q9UN86,G3BP2,186,0.053672
Q9UN86,G3BP2,187,0.000348
Q9UN86,G3BP2,188,0.023542
Q9UN86,G3BP2,189,0.033894
Q9UN86,G3BP2,190,0.088529
Q9UN86,G3BP2,191,0.066055
Q9UN86,G3BP2,192,0.011133
Q9UN86,G3BP2,193,0.276941
Q9UN86,G3BP2,194,0.016425
Q9UN86,G3BP2,195,0.044331
Q9UN86,G3BP2,196,0.513985
Q9UN86,G3BP2,197,0.007638
Q9UN86,G3BP2,198,0.189908
Q9UN86,G3BP2,199,0.065244
Q9UN86,G3BP2,200,0.105399
Q9UN86,G3BP2,201,0.009845
Q9UN86,G3BP2,202,0.014369
Q9UN86,G3BP2,203,0.221047
Q9UN86,G3BP2,204,0.082798
Q9UN86,G3BP2,205,0.015776
Q9UN86,G3BP2,206,0.159501
Q9UN86,G3BP2,207,0.479524
Q9UN86,G3BP2,208,0.318860
Q9UN86,G3BP2,209,0.123814
Q9UN86,G3BP2,210,0.021030
Q9UN86,G3BP2,211,0.029747
Q9UN86,G3BP2,212,0.001289
Q9UN86,G3BP2,213,0.161519
Q9UN86,G3BP2,214,0.013833
Q9UN86,G3BP2,215,0.020087
Q9UN86,G3BP2,216,0.726837
