uniprot_id,protein_name,score_index,score
Q9UPU9,SAMD4A,1,0.006704
Q9UPU9,SAMD4A,2,0.104464
Q9UPU9,SAMD4A,3,0.034957
Q9UPU9,SAMD4A,4,0.423482
Q9UPU9,SAMD4A,5,0.042233
Q9UPU9,SAMD4A,6,0.027200
Q9UPU9,SAMD4A,7,0.998672
Q9UPU9,SAMD4A,8,0.454772
Q9UPU9,SAMD4A,9,0.512368
Q9UPU9,SAMD4A,10,0.003119
Q9UPU9,SAMD4A,11,0.162457
Q9UPU9,SAMD4A,12,0.253539
Q9UPU9,SAMD4A,13,0.974535
Q9UPU9,SAMD4A,14,0.354928
Q9UPU9,SAMD4A,15,0.225994
Q9UPU9,SAMD4A,16,0.081840
Q9UPU9,SAMD4A,17,0.299267
Q9UPU9,SAMD4A,18,0.026366
Q9UPU9,SAMD4A,19,0.008390
Q9UPU9,SAMD4A,20,0.843805
Q9UPU9,SAMD4A,21,0.873930
Q9UPU9,SAMD4A,22,0.482724
Q9UPU9,SAMD4A,23,0.081886
Q9UPU9,SAMD4A,24,0.024612
Q9UPU9,SAMD4A,25,0.594128
Q9UPU9,SAMD4A,26,0.022972
Q9UPU9,SAMD4A,27,0.343408
Q9UPU9,SAMD4A,28,0.022188
Q9UPU9,SAMD4A,29,0.729667
Q9UPU9,SAMD4A,30,0.248687
Q9UPU9,SAMD4A,31,0.168261
Q9UPU9,SAMD4A,32,0.471751
Q9UPU9,SAMD4A,33,0.017898
Q9UPU9,SAMD4A,34,0.002320
Q9UPU9,SAMD4A,35,0.997614
Q9UPU9,SAMD4A,36,0.762149
Q9UPU9,SAMD4A,37,0.600538
Q9UPU9,SAMD4A,38,0.999201
Q9UPU9,SAMD4A,39,0.087746
Q9UPU9,SAMD4A,40,0.529137
Q9UPU9,SAMD4A,41,0.888072
Q9UPU9,SAMD4A,42,0.989372
Q9UPU9,SAMD4A,43,0.925045
Q9UPU9,SAMD4A,44,0.998149
Q9UPU9,SAMD4A,45,0.082664
Q9UPU9,SAMD4A,46,0.956468
Q9UPU9,SAMD4A,47,0.143343
Q9UPU9,SAMD4A,48,0.000063
Q9UPU9,SAMD4A,49,0.959756
Q9UPU9,SAMD4A,50,0.002276
Q9UPU9,SAMD4A,51,0.917818
Q9UPU9,SAMD4A,52,0.562674
Q9UPU9,SAMD4A,53,0.926624
Q9UPU9,SAMD4A,54,0.712469
