uniprot_id,protein_name,score_index,score
Q9Y2T7,YBX2,1,0.069328
Q9Y2T7,YBX2,2,0.013751
Q9Y2T7,YBX2,3,0.032531
Q9Y2T7,YBX2,4,0.046279
Q9Y2T7,YBX2,5,0.013812
Q9Y2T7,YBX2,6,0.006779
Q9Y2T7,YBX2,7,0.033939
Q9Y2T7,YBX2,8,0.103829
Q9Y2T7,YBX2,9,0.159013
Q9Y2T7,YBX2,10,0.110730
Q9Y2T7,YBX2,11,0.038918
Q9Y2T7,YBX2,12,0.003348
Q9Y2T7,YBX2,13,0.134677
Q9Y2T7,YBX2,14,0.048621
Q9Y2T7,YBX2,15,0.040623
Q9Y2T7,YBX2,16,0.293529
Q9Y2T7,YBX2,17,0.004720
Q9Y2T7,YBX2,18,0.006054
Q9Y2T7,YBX2,19,0.015402
Q9Y2T7,YBX2,20,0.051431
Q9Y2T7,YBX2,21,0.042120
Q9Y2T7,YBX2,22,0.116818
Q9Y2T7,YBX2,23,0.625888
Q9Y2T7,YBX2,24,0.075956
Q9Y2T7,YBX2,25,0.060295
Q9Y2T7,YBX2,26,0.148828
Q9Y2T7,YBX2,27,0.153695
Q9Y2T7,YBX2,28,0.024886
Q9Y2T7,YBX2,29,0.412758
Q9Y2T7,YBX2,30,0.011140
Q9Y2T7,YBX2,31,0.007864
Q9Y2T7,YBX2,32,0.005361
Q9Y2T7,YBX2,33,0.001229
Q9Y2T7,YBX2,34,0.110749
Q9Y2T7,YBX2,35,0.000193
Q9Y2T7,YBX2,36,0.116807
Q9Y2T7,YBX2,37,0.006279
Q9Y2T7,YBX2,38,0.088602
Q9Y2T7,YBX2,39,0.011091
Q9Y2T7,YBX2,40,0.036530
Q9Y2T7,YBX2,41,0.093088
Q9Y2T7,YBX2,42,0.161475
Q9Y2T7,YBX2,43,0.045753
Q9Y2T7,YBX2,44,0.064237
Q9Y2T7,YBX2,45,0.003737
Q9Y2T7,YBX2,46,0.005655
Q9Y2T7,YBX2,47,0.002511
Q9Y2T7,YBX2,48,0.020863
Q9Y2T7,YBX2,49,0.082940
Q9Y2T7,YBX2,50,0.500000
Q9Y2T7,YBX2,51,0.006680
Q9Y2T7,YBX2,52,0.058640
Q9Y2T7,YBX2,53,0.449728
Q9Y2T7,YBX2,54,0.024546
Q9Y2T7,YBX2,55,0.115960
Q9Y2T7,YBX2,56,0.014878
Q9Y2T7,YBX2,57,0.005235
Q9Y2T7,YBX2,58,0.041171
Q9Y2T7,YBX2,59,0.012237
Q9Y2T7,YBX2,60,0.294425
Q9Y2T7,YBX2,61,0.066376
Q9Y2T7,YBX2,62,0.009366
Q9Y2T7,YBX2,63,0.029951
Q9Y2T7,YBX2,64,0.014637
Q9Y2T7,YBX2,65,0.331108
Q9Y2T7,YBX2,66,0.097062
Q9Y2T7,YBX2,67,0.093354
Q9Y2T7,YBX2,68,0.413574
Q9Y2T7,YBX2,69,0.002014
Q9Y2T7,YBX2,70,0.024945
Q9Y2T7,YBX2,71,0.044821
Q9Y2T7,YBX2,72,0.030998
Q9Y2T7,YBX2,73,0.023690
Q9Y2T7,YBX2,74,0.075508
Q9Y2T7,YBX2,75,0.019479
Q9Y2T7,YBX2,76,0.015492
Q9Y2T7,YBX2,77,0.012607
Q9Y2T7,YBX2,78,0.026341
Q9Y2T7,YBX2,79,0.154914
Q9Y2T7,YBX2,80,0.007044
Q9Y2T7,YBX2,81,0.480500
Q9Y2T7,YBX2,82,0.000290
Q9Y2T7,YBX2,83,0.004721
Q9Y2T7,YBX2,84,0.099945
Q9Y2T7,YBX2,85,0.175153
Q9Y2T7,YBX2,86,0.001972
Q9Y2T7,YBX2,87,0.019134
Q9Y2T7,YBX2,88,0.026860
Q9Y2T7,YBX2,89,0.500000
Q9Y2T7,YBX2,90,0.071937
Q9Y2T7,YBX2,91,0.015278
Q9Y2T7,YBX2,92,0.014746
Q9Y2T7,YBX2,93,0.036685
Q9Y2T7,YBX2,94,0.145801
Q9Y2T7,YBX2,95,0.181144
Q9Y2T7,YBX2,96,0.004227
Q9Y2T7,YBX2,97,0.017982
Q9Y2T7,YBX2,98,0.055141
Q9Y2T7,YBX2,99,0.048748
Q9Y2T7,YBX2,100,0.053556
Q9Y2T7,YBX2,101,0.226449
Q9Y2T7,YBX2,102,0.158882
Q9Y2T7,YBX2,103,0.439099
Q9Y2T7,YBX2,104,0.100702
Q9Y2T7,YBX2,105,0.083572
Q9Y2T7,YBX2,106,0.004716
Q9Y2T7,YBX2,107,0.003829
Q9Y2T7,YBX2,108,0.012617
Q9Y2T7,YBX2,109,0.035745
Q9Y2T7,YBX2,110,0.058327
Q9Y2T7,YBX2,111,0.105429
Q9Y2T7,YBX2,112,0.080859
Q9Y2T7,YBX2,113,0.011398
Q9Y2T7,YBX2,114,0.202783
Q9Y2T7,YBX2,115,0.011163
Q9Y2T7,YBX2,116,0.023029
Q9Y2T7,YBX2,117,0.016681
Q9Y2T7,YBX2,118,0.020848
Q9Y2T7,YBX2,119,0.093793
Q9Y2T7,YBX2,120,0.228853
Q9Y2T7,YBX2,121,0.016191
Q9Y2T7,YBX2,122,0.109505
Q9Y2T7,YBX2,123,0.028250
Q9Y2T7,YBX2,124,0.048946
Q9Y2T7,YBX2,125,0.037705
Q9Y2T7,YBX2,126,0.100274
Q9Y2T7,YBX2,127,0.004971
Q9Y2T7,YBX2,128,0.027401
Q9Y2T7,YBX2,129,0.009489
Q9Y2T7,YBX2,130,0.025832
Q9Y2T7,YBX2,131,0.004025
Q9Y2T7,YBX2,132,0.014618
Q9Y2T7,YBX2,133,0.500000
Q9Y2T7,YBX2,134,0.111435
Q9Y2T7,YBX2,135,0.035467
Q9Y2T7,YBX2,136,0.010511
Q9Y2T7,YBX2,137,0.061553
Q9Y2T7,YBX2,138,0.023128
Q9Y2T7,YBX2,139,0.034202
Q9Y2T7,YBX2,140,0.103716
Q9Y2T7,YBX2,141,0.177576
Q9Y2T7,YBX2,142,0.007134
Q9Y2T7,YBX2,143,0.001044
Q9Y2T7,YBX2,144,0.500000
Q9Y2T7,YBX2,145,0.500000
Q9Y2T7,YBX2,146,0.007246
Q9Y2T7,YBX2,147,0.028677
Q9Y2T7,YBX2,148,0.144261
Q9Y2T7,YBX2,149,0.016371
Q9Y2T7,YBX2,150,0.030607
Q9Y2T7,YBX2,151,0.003098
Q9Y2T7,YBX2,152,0.060052
Q9Y2T7,YBX2,153,0.009342
Q9Y2T7,YBX2,154,0.008631
Q9Y2T7,YBX2,155,0.001666
Q9Y2T7,YBX2,156,0.017500
Q9Y2T7,YBX2,157,0.010169
Q9Y2T7,YBX2,158,0.225872
Q9Y2T7,YBX2,159,0.001781
Q9Y2T7,YBX2,160,0.265844
Q9Y2T7,YBX2,161,0.125412
Q9Y2T7,YBX2,162,0.004707
Q9Y2T7,YBX2,163,0.461424
Q9Y2T7,YBX2,164,0.330102
Q9Y2T7,YBX2,165,0.003437
Q9Y2T7,YBX2,166,0.082582
Q9Y2T7,YBX2,167,0.025371
Q9Y2T7,YBX2,168,0.043927
Q9Y2T7,YBX2,169,0.006440
Q9Y2T7,YBX2,170,0.419884
Q9Y2T7,YBX2,171,0.050241
Q9Y2T7,YBX2,172,0.022337
Q9Y2T7,YBX2,173,0.399522
Q9Y2T7,YBX2,174,0.206792
Q9Y2T7,YBX2,175,0.016593
Q9Y2T7,YBX2,176,0.002609
Q9Y2T7,YBX2,177,0.024888
Q9Y2T7,YBX2,178,0.452237
Q9Y2T7,YBX2,179,0.050807
Q9Y2T7,YBX2,180,0.017893
Q9Y2T7,YBX2,181,0.036380
Q9Y2T7,YBX2,182,0.086019
Q9Y2T7,YBX2,183,0.001715
Q9Y2T7,YBX2,184,0.220021
Q9Y2T7,YBX2,185,0.102792
Q9Y2T7,YBX2,186,0.019126
