uniprot_id,protein_name,score_index,score
Q9Y5S9,RBM8A,1,0.000020
Q9Y5S9,RBM8A,2,0.000380
Q9Y5S9,RBM8A,3,0.002794
Q9Y5S9,RBM8A,4,0.000320
Q9Y5S9,RBM8A,5,0.005600
Q9Y5S9,RBM8A,6,0.000511
Q9Y5S9,RBM8A,7,0.002205
Q9Y5S9,RBM8A,8,0.897125
Q9Y5S9,RBM8A,9,0.000024
Q9Y5S9,RBM8A,10,0.001783
Q9Y5S9,RBM8A,11,0.001068
Q9Y5S9,RBM8A,12,0.000047
Q9Y5S9,RBM8A,13,0.085820
Q9Y5S9,RBM8A,14,0.000174
Q9Y5S9,RBM8A,15,0.066521
Q9Y5S9,RBM8A,16,0.000257
Q9Y5S9,RBM8A,17,0.001442
Q9Y5S9,RBM8A,18,0.000702
Q9Y5S9,RBM8A,19,0.500000
Q9Y5S9,RBM8A,20,0.017141
Q9Y5S9,RBM8A,21,0.004361
Q9Y5S9,RBM8A,22,0.000471
Q9Y5S9,RBM8A,23,0.000534
Q9Y5S9,RBM8A,24,0.002688
Q9Y5S9,RBM8A,25,0.000771
Q9Y5S9,RBM8A,26,0.016918
Q9Y5S9,RBM8A,27,0.006868
Q9Y5S9,RBM8A,28,0.000441
Q9Y5S9,RBM8A,29,0.007424
Q9Y5S9,RBM8A,30,0.001661
Q9Y5S9,RBM8A,31,0.000858
Q9Y5S9,RBM8A,32,0.172059
Q9Y5S9,RBM8A,33,0.000111
Q9Y5S9,RBM8A,34,0.000108
Q9Y5S9,RBM8A,35,0.000648
Q9Y5S9,RBM8A,36,0.018625
Q9Y5S9,RBM8A,37,0.000105
Q9Y5S9,RBM8A,38,0.022034
Q9Y5S9,RBM8A,39,0.000213
Q9Y5S9,RBM8A,40,0.000704
Q9Y5S9,RBM8A,41,0.000997
Q9Y5S9,RBM8A,42,0.004044
Q9Y5S9,RBM8A,43,0.028824
Q9Y5S9,RBM8A,44,0.000349
Q9Y5S9,RBM8A,45,0.007674
Q9Y5S9,RBM8A,46,0.002904
Q9Y5S9,RBM8A,47,0.001270
Q9Y5S9,RBM8A,48,0.000711
Q9Y5S9,RBM8A,49,0.002961
Q9Y5S9,RBM8A,50,0.231696
Q9Y5S9,RBM8A,51,0.001647
Q9Y5S9,RBM8A,52,0.001742
Q9Y5S9,RBM8A,53,0.026087
Q9Y5S9,RBM8A,54,0.165445
Q9Y5S9,RBM8A,55,0.021810
Q9Y5S9,RBM8A,56,0.000239
Q9Y5S9,RBM8A,57,0.000084
Q9Y5S9,RBM8A,58,0.018784
Q9Y5S9,RBM8A,59,0.001653
Q9Y5S9,RBM8A,60,0.004060
