uniprot_id,protein_name,score_index,score
Q9Y6M1,IGF2BP2,1,0.692466
Q9Y6M1,IGF2BP2,2,0.001384
Q9Y6M1,IGF2BP2,3,0.998196
Q9Y6M1,IGF2BP2,4,0.000001
Q9Y6M1,IGF2BP2,5,0.977290
Q9Y6M1,IGF2BP2,6,0.836540
Q9Y6M1,IGF2BP2,7,0.397801
Q9Y6M1,IGF2BP2,8,0.847140
Q9Y6M1,IGF2BP2,9,0.803029
Q9Y6M1,IGF2BP2,10,0.790715
Q9Y6M1,IGF2BP2,11,0.913415
Q9Y6M1,IGF2BP2,12,0.340562
Q9Y6M1,IGF2BP2,13,0.491268
Q9Y6M1,IGF2BP2,14,0.808959
Q9Y6M1,IGF2BP2,15,0.907274
Q9Y6M1,IGF2BP2,16,0.996761
Q9Y6M1,IGF2BP2,17,0.859611
Q9Y6M1,IGF2BP2,18,0.000248
Q9Y6M1,IGF2BP2,19,0.000006
Q9Y6M1,IGF2BP2,20,0.188991
Q9Y6M1,IGF2BP2,21,0.999428
Q9Y6M1,IGF2BP2,22,0.132705
Q9Y6M1,IGF2BP2,23,0.968214
Q9Y6M1,IGF2BP2,24,0.958091
Q9Y6M1,IGF2BP2,25,0.979120
Q9Y6M1,IGF2BP2,26,0.209773
Q9Y6M1,IGF2BP2,27,0.997897
Q9Y6M1,IGF2BP2,28,0.000002
Q9Y6M1,IGF2BP2,29,0.000140
Q9Y6M1,IGF2BP2,30,0.000004
Q9Y6M1,IGF2BP2,31,0.978928
Q9Y6M1,IGF2BP2,32,0.187190
Q9Y6M1,IGF2BP2,33,0.843893
Q9Y6M1,IGF2BP2,34,0.948938
Q9Y6M1,IGF2BP2,35,0.899986
Q9Y6M1,IGF2BP2,36,0.084359
Q9Y6M1,IGF2BP2,37,0.000000
Q9Y6M1,IGF2BP2,38,0.936236
Q9Y6M1,IGF2BP2,39,0.044778
Q9Y6M1,IGF2BP2,40,0.835236
Q9Y6M1,IGF2BP2,41,0.955072
Q9Y6M1,IGF2BP2,42,0.998739
Q9Y6M1,IGF2BP2,43,0.934474
Q9Y6M1,IGF2BP2,44,0.606342
Q9Y6M1,IGF2BP2,45,0.982582
Q9Y6M1,IGF2BP2,46,0.907274
Q9Y6M1,IGF2BP2,47,0.002789
Q9Y6M1,IGF2BP2,48,0.791689
Q9Y6M1,IGF2BP2,49,0.055297
Q9Y6M1,IGF2BP2,50,0.000270
Q9Y6M1,IGF2BP2,51,0.970828
Q9Y6M1,IGF2BP2,52,0.523697
Q9Y6M1,IGF2BP2,53,0.082974
Q9Y6M1,IGF2BP2,54,0.938580
Q9Y6M1,IGF2BP2,55,0.733827
Q9Y6M1,IGF2BP2,56,0.310136
Q9Y6M1,IGF2BP2,57,0.727687
Q9Y6M1,IGF2BP2,58,0.980187
Q9Y6M1,IGF2BP2,59,0.987544
Q9Y6M1,IGF2BP2,60,0.000000
Q9Y6M1,IGF2BP2,61,0.431954
Q9Y6M1,IGF2BP2,62,0.012583
Q9Y6M1,IGF2BP2,63,0.997491
Q9Y6M1,IGF2BP2,64,0.004806
Q9Y6M1,IGF2BP2,65,0.999496
Q9Y6M1,IGF2BP2,66,0.273736
Q9Y6M1,IGF2BP2,67,0.263241
Q9Y6M1,IGF2BP2,68,0.000007
Q9Y6M1,IGF2BP2,69,0.934606
Q9Y6M1,IGF2BP2,70,0.563146
Q9Y6M1,IGF2BP2,71,0.113732
Q9Y6M1,IGF2BP2,72,0.999906
Q9Y6M1,IGF2BP2,73,0.972821
Q9Y6M1,IGF2BP2,74,0.979714
Q9Y6M1,IGF2BP2,75,0.429808
Q9Y6M1,IGF2BP2,76,0.975138
Q9Y6M1,IGF2BP2,77,0.999506
Q9Y6M1,IGF2BP2,78,0.000400
Q9Y6M1,IGF2BP2,79,0.941785
Q9Y6M1,IGF2BP2,80,0.997491
Q9Y6M1,IGF2BP2,81,0.988808
Q9Y6M1,IGF2BP2,82,0.124066
Q9Y6M1,IGF2BP2,83,0.056496
Q9Y6M1,IGF2BP2,84,0.002378
Q9Y6M1,IGF2BP2,85,0.001043
Q9Y6M1,IGF2BP2,86,0.000121
Q9Y6M1,IGF2BP2,87,0.011660
Q9Y6M1,IGF2BP2,88,0.810154
Q9Y6M1,IGF2BP2,89,0.981306
Q9Y6M1,IGF2BP2,90,0.959576
Q9Y6M1,IGF2BP2,91,0.016385
Q9Y6M1,IGF2BP2,92,0.668346
Q9Y6M1,IGF2BP2,93,0.938489
Q9Y6M1,IGF2BP2,94,0.000245
Q9Y6M1,IGF2BP2,95,0.275930
Q9Y6M1,IGF2BP2,96,0.983686
Q9Y6M1,IGF2BP2,97,0.001399
Q9Y6M1,IGF2BP2,98,0.994325
Q9Y6M1,IGF2BP2,99,0.979418
Q9Y6M1,IGF2BP2,100,0.998777
Q9Y6M1,IGF2BP2,101,0.931300
Q9Y6M1,IGF2BP2,102,0.613021
Q9Y6M1,IGF2BP2,103,0.900582
Q9Y6M1,IGF2BP2,104,0.937389
Q9Y6M1,IGF2BP2,105,0.769091
Q9Y6M1,IGF2BP2,106,0.889828
Q9Y6M1,IGF2BP2,107,0.052182
Q9Y6M1,IGF2BP2,108,0.968763
Q9Y6M1,IGF2BP2,109,0.000629
Q9Y6M1,IGF2BP2,110,0.984853
Q9Y6M1,IGF2BP2,111,0.920441
Q9Y6M1,IGF2BP2,112,0.487759
Q9Y6M1,IGF2BP2,113,0.997888
Q9Y6M1,IGF2BP2,114,0.146681
Q9Y6M1,IGF2BP2,115,0.244301
Q9Y6M1,IGF2BP2,116,0.873484
Q9Y6M1,IGF2BP2,117,0.999896
Q9Y6M1,IGF2BP2,118,0.241722
Q9Y6M1,IGF2BP2,119,0.595708
Q9Y6M1,IGF2BP2,120,0.637331
Q9Y6M1,IGF2BP2,121,0.996724
Q9Y6M1,IGF2BP2,122,0.003303
Q9Y6M1,IGF2BP2,123,0.999453
Q9Y6M1,IGF2BP2,124,0.996629
Q9Y6M1,IGF2BP2,125,0.000000
Q9Y6M1,IGF2BP2,126,0.884304
Q9Y6M1,IGF2BP2,127,0.487868
Q9Y6M1,IGF2BP2,128,0.848699
Q9Y6M1,IGF2BP2,129,0.951184
Q9Y6M1,IGF2BP2,130,0.790465
Q9Y6M1,IGF2BP2,131,0.925526
Q9Y6M1,IGF2BP2,132,0.849688
Q9Y6M1,IGF2BP2,133,0.325563
Q9Y6M1,IGF2BP2,134,0.029233
Q9Y6M1,IGF2BP2,135,0.173516
Q9Y6M1,IGF2BP2,136,0.999045
Q9Y6M1,IGF2BP2,137,0.629545
Q9Y6M1,IGF2BP2,138,0.000022
Q9Y6M1,IGF2BP2,139,0.845271
Q9Y6M1,IGF2BP2,140,0.963594
Q9Y6M1,IGF2BP2,141,0.887336
Q9Y6M1,IGF2BP2,142,0.958091
Q9Y6M1,IGF2BP2,143,0.995811
Q9Y6M1,IGF2BP2,144,0.999601
Q9Y6M1,IGF2BP2,145,0.999995
Q9Y6M1,IGF2BP2,146,0.000000
Q9Y6M1,IGF2BP2,147,0.152197
Q9Y6M1,IGF2BP2,148,0.661354
Q9Y6M1,IGF2BP2,149,0.155980
Q9Y6M1,IGF2BP2,150,0.990959
Q9Y6M1,IGF2BP2,151,0.016774
Q9Y6M1,IGF2BP2,152,0.215690
Q9Y6M1,IGF2BP2,153,0.999471
Q9Y6M1,IGF2BP2,154,0.000217
Q9Y6M1,IGF2BP2,155,0.383067
Q9Y6M1,IGF2BP2,156,0.903551
Q9Y6M1,IGF2BP2,157,0.983686
Q9Y6M1,IGF2BP2,158,0.004703
Q9Y6M1,IGF2BP2,159,0.944669
Q9Y6M1,IGF2BP2,160,0.978465
Q9Y6M1,IGF2BP2,161,0.984593
Q9Y6M1,IGF2BP2,162,0.449815
Q9Y6M1,IGF2BP2,163,0.000000
Q9Y6M1,IGF2BP2,164,0.202560
Q9Y6M1,IGF2BP2,165,0.646124
Q9Y6M1,IGF2BP2,166,0.000001
Q9Y6M1,IGF2BP2,167,0.892198
Q9Y6M1,IGF2BP2,168,0.000000
Q9Y6M1,IGF2BP2,169,0.962275
Q9Y6M1,IGF2BP2,170,0.088938
Q9Y6M1,IGF2BP2,171,0.949299
Q9Y6M1,IGF2BP2,172,0.943916
Q9Y6M1,IGF2BP2,173,0.000000
Q9Y6M1,IGF2BP2,174,0.000140
Q9Y6M1,IGF2BP2,175,0.737130
Q9Y6M1,IGF2BP2,176,0.180684
Q9Y6M1,IGF2BP2,177,0.638331
Q9Y6M1,IGF2BP2,178,0.167840
Q9Y6M1,IGF2BP2,179,0.987340
Q9Y6M1,IGF2BP2,180,0.995485
Q9Y6M1,IGF2BP2,181,0.318435
Q9Y6M1,IGF2BP2,182,0.967433
Q9Y6M1,IGF2BP2,183,0.999124
Q9Y6M1,IGF2BP2,184,0.999506
Q9Y6M1,IGF2BP2,185,0.085179
Q9Y6M1,IGF2BP2,186,0.999981
Q9Y6M1,IGF2BP2,187,0.989545
Q9Y6M1,IGF2BP2,188,0.676538
Q9Y6M1,IGF2BP2,189,0.932408
Q9Y6M1,IGF2BP2,190,0.000000
Q9Y6M1,IGF2BP2,191,0.876027
Q9Y6M1,IGF2BP2,192,0.499465
Q9Y6M1,IGF2BP2,193,0.233510
Q9Y6M1,IGF2BP2,194,0.000017
Q9Y6M1,IGF2BP2,195,0.533435
Q9Y6M1,IGF2BP2,196,0.997975
Q9Y6M1,IGF2BP2,197,0.746780
Q9Y6M1,IGF2BP2,198,0.000000
Q9Y6M1,IGF2BP2,199,0.710437
Q9Y6M1,IGF2BP2,200,0.321178
Q9Y6M1,IGF2BP2,201,0.667037
Q9Y6M1,IGF2BP2,202,0.948506
Q9Y6M1,IGF2BP2,203,0.759362
Q9Y6M1,IGF2BP2,204,0.868185
Q9Y6M1,IGF2BP2,205,0.000000
Q9Y6M1,IGF2BP2,206,0.049818
Q9Y6M1,IGF2BP2,207,0.825047
Q9Y6M1,IGF2BP2,208,0.400844
Q9Y6M1,IGF2BP2,209,0.958091
Q9Y6M1,IGF2BP2,210,0.765497
Q9Y6M1,IGF2BP2,211,0.921277
Q9Y6M1,IGF2BP2,212,0.957618
Q9Y6M1,IGF2BP2,213,0.974704
Q9Y6M1,IGF2BP2,214,0.003239
Q9Y6M1,IGF2BP2,215,0.012536
Q9Y6M1,IGF2BP2,216,0.989157
Q9Y6M1,IGF2BP2,217,0.016560
Q9Y6M1,IGF2BP2,218,0.000001
Q9Y6M1,IGF2BP2,219,0.997975
Q9Y6M1,IGF2BP2,220,0.291961
Q9Y6M1,IGF2BP2,221,0.968763
Q9Y6M1,IGF2BP2,222,0.441436
Q9Y6M1,IGF2BP2,223,0.334858
Q9Y6M1,IGF2BP2,224,0.560779
Q9Y6M1,IGF2BP2,225,0.997975
Q9Y6M1,IGF2BP2,226,0.000638
Q9Y6M1,IGF2BP2,227,0.000219
Q9Y6M1,IGF2BP2,228,0.001134
Q9Y6M1,IGF2BP2,229,0.185297
Q9Y6M1,IGF2BP2,230,0.000141
Q9Y6M1,IGF2BP2,231,0.024893
Q9Y6M1,IGF2BP2,232,0.770242
Q9Y6M1,IGF2BP2,233,0.601402
Q9Y6M1,IGF2BP2,234,0.935979
Q9Y6M1,IGF2BP2,235,0.349579
Q9Y6M1,IGF2BP2,236,0.000127
Q9Y6M1,IGF2BP2,237,0.943916
Q9Y6M1,IGF2BP2,238,0.808731
Q9Y6M1,IGF2BP2,239,0.622975
Q9Y6M1,IGF2BP2,240,0.920704
Q9Y6M1,IGF2BP2,241,0.005136
Q9Y6M1,IGF2BP2,242,0.721551
Q9Y6M1,IGF2BP2,243,0.980272
Q9Y6M1,IGF2BP2,244,0.813505
Q9Y6M1,IGF2BP2,245,0.000022
Q9Y6M1,IGF2BP2,246,0.000606
Q9Y6M1,IGF2BP2,247,0.789576
Q9Y6M1,IGF2BP2,248,0.150302
Q9Y6M1,IGF2BP2,249,0.994095
Q9Y6M1,IGF2BP2,250,0.997975
Q9Y6M1,IGF2BP2,251,0.049327
Q9Y6M1,IGF2BP2,252,0.999999
Q9Y6M1,IGF2BP2,253,0.999772
Q9Y6M1,IGF2BP2,254,0.008669
Q9Y6M1,IGF2BP2,255,0.964670
Q9Y6M1,IGF2BP2,256,0.131880
Q9Y6M1,IGF2BP2,257,0.000315
Q9Y6M1,IGF2BP2,258,0.847972
Q9Y6M1,IGF2BP2,259,0.998972
Q9Y6M1,IGF2BP2,260,0.994967
Q9Y6M1,IGF2BP2,261,0.979463
Q9Y6M1,IGF2BP2,262,0.000007
Q9Y6M1,IGF2BP2,263,0.664259
Q9Y6M1,IGF2BP2,264,0.996629
Q9Y6M1,IGF2BP2,265,0.999626
Q9Y6M1,IGF2BP2,266,0.997667
