pdb_id	len_true	len_pred	dynalign_pairs	true_coverage	status	note
2bte	83	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
2bte	83	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
2byt	83	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
2byt	83	500	0	0.000000	no_alignment	windowed_pred(500->162)
6d9j	119	500	0	0.000000	no_alignment	windowed_pred(500->254)
6d9j	1697	500	0	0.000000	timeout	dynalign timeout (300s)
6d90	119	500	0	0.000000	no_alignment	windowed_pred(500->237)
5dat	121	500	0	0.000000	no_alignment	windowed_pred(500->277)
5dc3	121	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
5dgf	121	500	0	0.000000	no_alignment	windowed_pred(500->184)
5dge	121	500	0	0.000000	no_alignment	windowed_pred(500->247)
5dgv	121	500	0	0.000000	no_alignment	windowed_pred(500->158)
5fci	121	500	0	0.000000	no_alignment	windowed_pred(500->211)
5fcj	121	500	0	0.000000	no_alignment	windowed_pred(500->221)
6frk	120	500	0	0.000000	no_alignment	windowed_pred(500->217)
5gak	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
5gxh	8	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
5gxi	10	500	0	0.000000	no_alignment	windowed_pred(500->273)
6gz4	119	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
5hab	5	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
5hab	5	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
6hcf	120	500	0	0.000000	no_alignment	windowed_pred(500->162)
6hd7	121	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
6hhq	121	500	0	0.000000	no_alignment	windowed_pred(500->283)
6hhq	121	500	0	0.000000	no_alignment	windowed_pred(500->188)
5i4l	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
5it7	121	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
3j79	119	500	0	0.000000	no_alignment	windowed_pred(500->264)
3jah	120	500	0	0.000000	no_alignment	windowed_pred(500->226)
3jai	120	500	0	0.000000	no_alignment	windowed_pred(500->175)
5jup	121	500	0	0.000000	no_alignment	windowed_pred(500->274)
5lyb	121	500	0	0.000000	no_alignment	windowed_pred(500->254)
5mei	121	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
