pdb_id	len_true	len_pred	dynalign_pairs	true_coverage	status	note
2bte	83	500	0	0.000000	no_alignment	windowed_pred(500->151)
2bte	83	500	0	0.000000	no_alignment	windowed_pred(500->151)
2byt	83	500	0	0.000000	no_alignment	windowed_pred(500->151)
2byt	83	500	0	0.000000	no_alignment	windowed_pred(500->151)
6d9j	119	500	0	0.000000	no_alignment	windowed_pred(500->151)
6d9j	1697	500	0	0.000000	timeout	dynalign timeout (180s)
6d90	119	500	0	0.000000	no_alignment	windowed_pred(500->151)
5dat	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
5dc3	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
5dgf	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
5dge	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
5dgv	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
5fci	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
5fcj	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
6frk	120	500	0	0.000000	no_alignment	windowed_pred(500->151)
5gak	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
5gxh	8	500	0	0.000000	no_alignment	windowed_pred(500->151)
5gxi	10	500	0	0.000000	no_alignment	windowed_pred(500->151)
6gz4	119	500	0	0.000000	no_alignment	windowed_pred(500->151)
5hab	5	500	0	0.000000	no_alignment	windowed_pred(500->152)
5hab	5	500	0	0.000000	no_alignment	windowed_pred(500->151)
6hcf	120	500	0	0.000000	no_alignment	windowed_pred(500->151)
6hd7	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
6hhq	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
6hhq	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
5i4l	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
5it7	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
3j79	119	500	0	0.000000	no_alignment	windowed_pred(500->151)
3jah	120	500	0	0.000000	no_alignment	windowed_pred(500->151)
3jai	120	500	0	0.000000	no_alignment	windowed_pred(500->151)
5jup	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
5lyb	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
5mei	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
5mei	121	500	0	0.000000	no_alignment	windowed_pred(500->151)
6mte	120	500	0	0.000000	no_alignment	windowed_pred(500->151)
